date,updated_baseline_gross,updated_baseline_net
2007-05-01,0.0023867386445188196,-0.0005235589187550546
2007-05-02,0.004055728660178852,0.004055728660178852
2007-05-03,0.005999101317026721,0.005999101317026721
2007-05-04,0.002224186384786936,0.002224186384786936
2007-05-07,0.010062273428017356,0.010062273428017356
2007-05-08,0.002605007511932268,0.002605007511932268
2007-05-09,0.002291197344920292,0.002291197344920292
2007-05-10,0.009772417639636776,0.009772417639636776
2007-05-11,-0.0042393869894959725,-0.0042393869894959725
2007-05-14,0.00930387778344248,0.00930387778344248
2007-05-15,-2.0305080101358627e-05,-2.0305080101358627e-05
2007-05-16,0.015978664859337726,0.015978664859337726
2007-05-17,0.0004239659009681292,0.0004239659009681292
2007-05-18,-0.003522772555811718,-0.003522772555811718
2007-05-21,0.015222519979678465,0.015222519979678465
2007-05-22,0.008243306612781531,0.008243306612781531
2007-05-23,-0.002167531133947768,-0.002167531133947768
2007-05-24,-0.008944605999113482,-0.008944605999113482
2007-05-25,0.006453699060916907,0.006453699060916907
2007-05-28,0.005963019999952886,0.005963019999952886
2007-05-29,-0.003959268394230113,-0.003959268394230113
2007-05-30,-0.0035779016000181416,-0.0035779016000181416
2007-05-31,0.006624258202609855,0.006624258202609855
2007-06-01,0.010831297996457387,0.007814312841860304
2007-06-04,-0.006894497854533398,-0.006894497854533398
2007-06-05,-0.007428984979005733,-0.007428984979005733
2007-06-06,-0.009734527839421067,-0.009734527839421067
2007-06-07,-0.0017378213917943162,-0.0017378213917943162
2007-06-08,-0.005218416591560932,-0.005218416591560932
2007-06-11,0.007486988550102982,0.007486988550102982
2007-06-12,0.005818056007807139,0.005818056007807139
2007-06-13,-0.0005134393569139039,-0.0005134393569139039
2007-06-14,0.012443866657595753,0.012443866657595753
2007-06-15,0.004620987417033202,0.004620987417033202
2007-06-18,0.01318842661644658,0.01318842661644658
2007-06-19,0.0015890553371534829,0.0015890553371534829
2007-06-20,-0.011191316315807503,-0.011191316315807503
2007-06-21,-0.002709863710957718,-0.002709863710957718
2007-06-22,-0.007027375953441871,-0.007027375953441871
2007-06-25,-0.004145958439801617,-0.004145958439801617
2007-06-26,-0.003659997764593381,-0.003659997764593381
2007-06-27,-0.0004106868742268072,-0.0004106868742268072
2007-06-28,0.011755308226209335,0.011755308226209335
2007-06-29,0.0010404786360388972,0.0010404786360388972
2007-07-02,0.00485891467481719,0.00485891467481719
2007-07-03,0.0060197876906356446,0.003742227226828623
2007-07-04,0.0046693410572656,0.0046693410572656
2007-07-05,0.003702989255827586,0.003702989255827586
2007-07-06,0.0028648334022802462,0.0028648334022802462
2007-07-09,0.009124505446969576,0.009124505446969576
2007-07-10,-0.004835089744286737,-0.004835089744286737
2007-07-11,0.006575361484551499,0.006575361484551499
2007-07-12,0.004547475521115419,0.004547475521115419
2007-07-13,0.006510239338717099,0.006510239338717099
2007-07-16,-4.073660462294718e-07,-4.073660462294718e-07
2007-07-17,0.002295793955593132,0.002295793955593132
2007-07-18,-0.003078607996118102,-0.003078607996118102
2007-07-19,0.004305935855507361,0.004305935855507361
2007-07-20,-0.006927800547136069,-0.006927800547136069
2007-07-23,0.00812482986953081,0.00812482986953081
2007-07-24,-0.002084010462261408,-0.002084010462261408
2007-07-25,0.0013205299167509637,0.0013205299167509637
2007-07-26,-0.025627019848197517,-0.025627019848197517
2007-07-27,-0.0005133438798067135,-0.0005133438798067135
2007-07-30,0.0008024486433824845,0.0008024486433824845
2007-07-31,0.004390804384379528,0.004390804384379528
2007-08-01,0.0032438195901936468,0.0015472362705376435
2007-08-02,0.0023953755143002503,0.0023953755143002503
2007-08-03,-0.008936925586688769,-0.008936925586688769
2007-08-06,0.00043927684390237176,0.00043927684390237176
2007-08-07,0.0035395754205911904,0.0035395754205911904
2007-08-08,0.002047941406076134,0.002047941406076134
2007-08-09,-0.00886280911199495,-0.00886280911199495
2007-08-10,-0.0050343518194017394,-0.0050343518194017394
2007-08-13,0.006099359294285288,0.006099359294285288
2007-08-14,-0.005357450148036777,-0.005357450148036777
2007-08-15,-0.007237904296786851,-0.007237904296786851
2007-08-16,-0.02687704822851557,-0.02687704822851557
2007-08-17,0.007646130646168347,0.007646130646168347
2007-08-20,0.0069912739186163905,0.0069912739186163905
2007-08-21,7.871395212450533e-05,7.871395212450533e-05
2007-08-22,0.0078077389989221115,0.0078077389989221115
2007-08-23,0.004620453804834935,0.004620453804834935
2007-08-24,0.0027439816870190943,0.0027439816870190943
2007-08-27,0.0015584369585500105,0.0015584369585500105
2007-08-28,-0.010074944342806917,-0.010074944342806917
2007-08-29,0.011246404961001027,0.011246404961001027
2007-08-30,0.003278816908553397,0.003278816908553397
2007-08-31,0.008735533957851985,0.008735533957851985
2007-09-03,0.0005066427565808662,-0.0023386923404358642
2007-09-04,0.0013310392377652897,0.0013310392377652897
2007-09-05,-0.0063103946783670435,-0.0063103946783670435
2007-09-06,0.006598928377773053,0.006598928377773053
2007-09-07,-0.007635395645506312,-0.007635395645506312
2007-09-10,0.0015412051009615442,0.0015412051009615442
2007-09-11,0.007893891737844418,0.007893891737844418
2007-09-12,0.00235527412311398,0.00235527412311398
2007-09-13,0.0036692596907931287,0.0036692596907931287
2007-09-14,0.005510414328514589,0.005510414328514589
2007-09-17,-0.00750728420826517,-0.00750728420826517
2007-09-18,0.01128665123073416,0.01128665123073416
2007-09-19,0.015768052385342003,0.015768052385342003
2007-09-20,-0.0009409151890941935,-0.0009409151890941935
2007-09-21,0.007565350255471742,0.007565350255471742
2007-09-24,-0.0005565460227710869,-0.0005565460227710869
2007-09-25,-0.002081227774504503,-0.002081227774504503
2007-09-26,0.008843921649202915,0.008843921649202915
2007-09-27,0.0017665894393548449,0.0017665894393548449
2007-09-28,-0.007506384325014999,-0.007506384325014999
2007-10-01,0.005303359592835352,0.005303359592835352
2007-10-02,-0.0010954108774932818,-0.004890463023282818
2007-10-03,-0.0003392010712362583,-0.0003392010712362583
2007-10-04,-0.001959610809146567,-0.001959610809146567
2007-10-05,0.006876458965649321,0.006876458965649321
2007-10-08,0.0017083048176952228,0.0017083048176952228
2007-10-09,-0.0009773150822116057,-0.0009773150822116057
2007-10-10,-0.004039938294458131,-0.004039938294458131
2007-10-11,0.002027675269842881,0.002027675269842881
2007-10-12,-4.194538029601131e-06,-4.194538029601131e-06
