,annual_return,annual_volatility,sharpe,sortino,maximum_drawdown,calmar,hit_rate,observations
static,0.04862820586679639,0.11522094171652428,0.4220431211752753,0.5906175255680087,-0.25188067123626867,0.19306049022388957,0.5739130434782609,230.0
binary_filter,-0.002149183502640817,0.08053349913636872,-0.026686826298228623,-0.023696666515730245,-0.21163584285862547,-0.010155101676593078,0.2774566473988439,173.0
probability_scaled,-0.0017147417868274006,0.08018048903816821,-0.021386023051208063,-0.019656064831568645,-0.22304879758682317,-0.007687742796102393,0.3179190751445087,173.0
