strategy,return_type,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,turnover,cost_drag
static_baseline,gross,2012-05-31,2026-06-30,3674,0.08255459265014893,0.1097841789401619,4.782764264113289e-05,-0.6507570467568644,4.3047473277254245,0.7519716724861192,-0.26782949992114136,0.010247946565753795,0.020740867570099304,0.016960184669582573,0.02837636926883568,0.552531301034295,0.041327753448249585,-0.045891810270633784,0.01900896199749015,0.07950355489937122,1.034706786967165,0.29684390600281124,0.6551066377323319,0.01750507853691048
static_baseline,net,2012-05-31,2026-06-30,3674,0.06504951411323845,0.10991095039094755,4.793816276127513e-05,-0.6441258958836924,4.249778319331617,0.5918383371434849,-0.29318494205516565,0.010342874217802321,0.020740867570099304,0.017053725839713773,0.02837636926883568,0.5470876428960262,0.041327753448249585,-0.045891810270633784,0.016746994913953803,0.06076111237502513,0.8094888486642678,0.20724499678974756,0.6551066377323319,0.01750507853691048
binary_gate,gross,2012-05-31,2026-06-30,3674,0.022941319457438002,0.07676577991373879,2.3384860975256274e-05,-0.8117112886776376,9.40214869427799,0.29884825612684474,-0.19474435944716484,0.0074012857037440965,0.016384153670150402,0.01283937011052123,0.022534758215728187,0.2822536744692433,0.03162727624734874,-0.03810552036060171,0.0454451225346411,0.020188064902679992,0.4050735531383148,0.10366443967871182,0.9936128539510548,0.019002871056428745
binary_gate,net,2012-05-31,2026-06-30,3674,0.003938448401009256,0.0771336503220197,2.3609523857141314e-05,-0.8046654936774034,9.182776068354514,0.051060054652760666,-0.22512438579629213,0.007531988931740539,0.016628569284488148,0.012984255774974814,0.022581394574366007,0.27871529667936856,0.03162727624734874,-0.03810552036060171,0.04469709461692159,0.0009567985375269483,0.06853454609906152,0.00425008838621652,0.9936128539510548,0.019002871056428745
probability_scaled,gross,2012-05-31,2026-06-30,3674,0.02208680404262424,0.07307420047466341,2.118983640877499e-05,-0.9860630518019123,10.554917759948559,0.30225173726371823,-0.17270650983862157,0.0069938982956714415,0.014871105899115548,0.012124823386260666,0.02222667953005877,0.3979314099074578,0.03162727624734874,-0.03810552036060171,0.0536956033961103,0.01959822536174305,0.40605933467190736,0.1134770506337937,0.9497298484018449,0.018242002040437022
probability_scaled,net,2012-05-31,2026-06-30,3674,0.0038448020021872144,0.07338693816485205,2.1371597988935783e-05,-0.9761797628045926,10.314095289674466,0.05239082183195162,-0.23344974244648475,0.007188130394365231,0.015158513954206526,0.012263467202456158,0.022243818421760105,0.3905824714207948,0.03162727624734874,-0.03810552036060171,0.05129247740356819,0.0011449394037619243,0.06972780323902442,0.004904436354323185,0.9497298484018449,0.018242002040437022
