date,probability,binary_exposure,probability_scaled_exposure
2007-05-31,,,
2007-06-30,,,
2007-07-31,,,
2007-08-31,,,
2007-09-30,,,
2007-10-31,,,
2007-11-30,,,
2007-12-31,,,
2008-01-31,,,
2008-02-29,,,
2008-03-31,,,
2008-04-30,,,
2008-05-31,,,
2008-06-30,,,
2008-07-31,,,
2008-08-31,,,
2008-09-30,,,
2008-10-31,,,
2008-11-30,,,
2008-12-31,,,
2009-01-31,,,
2009-02-28,,,
2009-03-31,,,
2009-04-30,,,
2009-05-31,,,
2009-06-30,,,
2009-07-31,,,
2009-08-31,,,
2009-09-30,,,
2009-10-31,,,
2009-11-30,,,
2009-12-31,,,
2010-01-31,,,
2010-02-28,,,
2010-03-31,,,
2010-04-30,,,
2010-05-31,,,
2010-06-30,,,
2010-07-31,,,
2010-08-31,,,
2010-09-30,,,
2010-10-31,,,
2010-11-30,,,
2010-12-31,,,
2011-01-31,,,
2011-02-28,,,
2011-03-31,,,
2011-04-30,,,
2011-05-31,,,
2011-06-30,,,
2011-07-31,,,
2011-08-31,,,
2011-09-30,,,
2011-10-31,,,
2011-11-30,,,
2011-12-31,,,
2012-01-31,,,
2012-02-29,,,
2012-03-31,,,
2012-04-30,,,
2012-05-31,0.42767639820375236,0.0,0.2589213273458412
2012-06-30,0.4572710920138598,0.0,0.357570306712866
2012-07-31,0.2512616042148266,0.0,0.0
2012-08-31,0.5350488995455431,1.0,0.6168296651518105
2012-09-30,0.8394989192447325,1.0,1.0
2012-10-31,0.42508078168929186,0.0,0.25026927229763957
2012-11-30,0.32306202873262635,0.0,0.0
2012-12-31,0.47590181372068247,0.0,0.4196727124022749
2013-01-31,0.24586992033331803,0.0,0.0
2013-02-28,0.37104034080489295,0.0,0.07013446934964325
2013-03-31,0.16003993473441727,0.0,0.0
2013-04-30,0.2717665911742878,0.0,0.0
2013-05-31,0.986471627958292,1.0,1.0
2013-06-30,0.9327738558417948,1.0,1.0
2013-07-31,0.19906995458913987,0.0,0.0
2013-08-31,0.4734923472050319,0.0,0.4116411573501064
2013-09-30,0.6447735899813786,1.0,0.9825786332712618
2013-10-31,0.4812555033853354,0.0,0.43751834461778466
2013-11-30,0.39071676725924115,0.0,0.1357225575308039
2013-12-31,0.839191749954678,1.0,1.0
2014-01-31,0.4083786160833466,0.0,0.19459538694448864
2014-02-28,0.12653501388813257,0.0,0.0
2014-03-31,0.808410304305059,1.0,1.0
2014-04-30,0.29864995340218603,0.0,0.0
2014-05-31,0.6272664860709931,1.0,0.9242216202366437
2014-06-30,0.27273746715512465,0.0,0.0
2014-07-31,0.0046992097374811805,0.0,0.0
2014-08-31,0.5053613266919568,1.0,0.5178710889731892
2014-09-30,0.4249611807226701,0.0,0.24987060240890033
2014-10-31,0.18131610710512117,0.0,0.0
2014-11-30,0.7791530711358254,1.0,1.0
2014-12-31,0.15330585982892528,0.0,0.0
2015-01-31,0.13006700321665804,0.0,0.0
2015-02-28,0.9980147995590615,1.0,1.0
2015-03-31,0.6485685657526656,1.0,0.9952285525088854
2015-04-30,0.6972908640662635,1.0,1.0
2015-05-31,0.8287599309638324,1.0,1.0
2015-06-30,0.7886454715254801,1.0,1.0
2015-07-31,0.9065770421902167,1.0,1.0
2015-08-31,0.0740764613345581,0.0,0.0
2015-09-30,0.7273422878729227,1.0,1.0
2015-10-31,0.6477992804474465,1.0,0.9926642681581549
2015-11-30,0.8174472944444328,1.0,1.0
2015-12-31,0.41313612963580765,0.0,0.2104537654526922
2016-01-31,0.7802173702225661,1.0,1.0
2016-02-29,0.017764915341967828,0.0,0.0
2016-03-31,0.8896146865679225,1.0,1.0
2016-04-30,0.15063957367526756,0.0,0.0
2016-05-31,0.7192784937425645,1.0,1.0
2016-06-30,0.420030124229726,0.0,0.2334337474324201
2016-07-31,0.9401717624305295,1.0,1.0
2016-08-31,0.13400226188735473,0.0,0.0
2016-09-30,0.6294803406163092,1.0,0.9316011353876973
2016-10-31,0.47384083348581796,0.0,0.4128027782860599
2016-11-30,0.04555124308271009,0.0,0.0
2016-12-31,0.2878951356616091,0.0,0.0
2017-01-31,0.8099663436147736,1.0,1.0
2017-02-28,0.07172945384772982,0.0,0.0
2017-03-31,0.37116748763837876,0.0,0.07055829212792926
2017-04-30,0.689106079909466,1.0,1.0
2017-05-31,0.44397816224668857,0.0,0.31326054082229526
2017-06-30,0.31001185408467924,0.0,0.0
2017-07-31,0.7085352452627778,1.0,1.0
2017-08-31,0.41185473708550524,0.0,0.2061824569516842
2017-09-30,0.6215092094044983,1.0,0.9050306980149941
2017-10-31,0.7653278389191803,1.0,1.0
2017-11-30,0.0024280971343559245,0.0,0.0
2017-12-31,0.7536671993735571,1.0,1.0
2018-01-31,0.361661404810655,0.0,0.038871349368850096
2018-02-28,0.49425147334678016,0.0,0.4808382444892672
2018-03-31,0.25668907922420414,0.0,0.0
2018-04-30,0.6203692186588052,1.0,0.9012307288626841
2018-05-31,0.13698445495451783,0.0,0.0
2018-06-30,0.5182426170042393,1.0,0.5608087233474645
2018-07-31,0.704669593724866,1.0,1.0
2018-08-31,0.43582954612359603,0.0,0.2860984870786535
2018-09-30,0.7618369858127083,1.0,1.0
2018-10-31,0.8330917744725813,1.0,1.0
2018-11-30,0.9042825047662106,1.0,1.0
2018-12-31,0.5210001445894162,1.0,0.5700004819647208
2019-01-31,0.9076538128723763,1.0,1.0
2019-02-28,0.5185622440348203,1.0,0.5618741467827344
2019-03-31,0.9550929603386836,1.0,1.0
2019-04-30,0.9927261178563858,1.0,1.0
2019-05-31,0.6127474474773179,1.0,0.875824824924393
2019-06-30,0.9563744868425051,1.0,1.0
2019-07-31,0.9563618871613679,1.0,1.0
2019-08-31,0.8998406813744643,1.0,1.0
2019-09-30,0.8932633244521508,1.0,1.0
2019-10-31,0.005108291863218206,0.0,0.0
2019-11-30,0.5187463951475433,1.0,0.5624879838251443
2019-12-31,0.39851958390522635,0.0,0.16173194635075455
2020-01-31,0.6659414601756483,1.0,1.0
2020-02-29,0.40422258235504255,0.0,0.1807419411834752
2020-03-31,0.4576017672254563,0.0,0.3586725574181877
2020-04-30,0.9932362343211752,1.0,1.0
2020-05-31,0.9999961014184682,1.0,1.0
2020-06-30,0.5038461096176641,1.0,0.5128203653922135
2020-07-31,0.6479458140701378,1.0,0.9931527135671261
2020-08-31,0.8964220985641655,1.0,1.0
2020-09-30,0.7536363833290266,1.0,1.0
2020-10-31,0.2919677887525937,0.0,0.0
2020-11-30,0.9958230736530315,1.0,1.0
2020-12-31,0.9525475491044673,1.0,1.0
2021-01-31,0.35329449429745835,0.0,0.010981647658194572
2021-02-28,0.012211954499245774,0.0,0.0
2021-03-31,0.5799019792218018,1.0,0.7663399307393391
2021-04-30,0.919956218128736,1.0,1.0
2021-05-31,0.46204243012728136,0.0,0.37347476709093785
2021-06-30,0.9448448461143439,1.0,1.0
2021-07-31,0.2346388652188217,0.0,0.0
2021-08-31,0.8990747825823576,1.0,1.0
2021-09-30,0.02273916606574917,0.0,0.0
2021-10-31,0.27743024937271094,0.0,0.0
2021-11-30,0.030710312773718006,0.0,0.0
2021-12-31,0.00103089625819622,0.0,0.0
2022-01-31,0.9404272639685228,1.0,1.0
2022-02-28,0.2391764105647332,0.0,0.0
2022-03-31,0.9984220034868192,1.0,1.0
2022-04-30,0.17343752689571976,0.0,0.0
2022-05-31,0.9981057136199638,1.0,1.0
2022-06-30,0.6071636090472148,1.0,0.8572120301573826
2022-07-31,0.039888066702659895,0.0,0.0
2022-08-31,0.7519558370774155,1.0,1.0
2022-09-30,0.8086742172138711,1.0,1.0
2022-10-31,0.9945617348221045,1.0,1.0
2022-11-30,0.973408837661972,1.0,1.0
2022-12-31,0.14400527238966335,0.0,0.0
2023-01-31,0.4760426751662835,0.0,0.4201422505542784
2023-02-28,0.3508898304757128,0.0,0.0029661015857094606
2023-03-31,0.29227668669036266,0.0,0.0
2023-04-30,0.8442538783712423,1.0,1.0
2023-05-31,0.9921062021469743,1.0,1.0
2023-06-30,0.27646284837924895,0.0,0.0
2023-07-31,0.544162105007718,1.0,0.6472070166923933
2023-08-31,0.31709222725843556,0.0,0.0
2023-09-30,0.6060288006480254,1.0,0.8534293354934182
2023-10-31,0.6002290961699351,1.0,0.8340969872331171
2023-11-30,0.38882024654704644,0.0,0.1294008218234882
2023-12-31,0.13850862901348374,0.0,0.0
2024-01-31,0.23646713582306053,0.0,0.0
2024-02-29,0.37408977127526194,0.0,0.08029923758420653
2024-03-31,0.3241798511994356,0.0,0.0
2024-04-30,0.5080140843779944,1.0,0.5267136145933148
2024-05-31,0.5202354718610169,1.0,0.5674515728700564
2024-06-30,0.6046778034523587,1.0,0.8489260115078622
2024-07-31,0.40934591345112925,0.0,0.1978197115037642
2024-08-31,0.8018169524400943,1.0,1.0
2024-09-30,0.8066555791632944,1.0,1.0
2024-10-31,0.7017090735740563,1.0,1.0
2024-11-30,0.19626713729957257,0.0,0.0
2024-12-31,0.4280598161090616,0.0,0.2601993870302053
2025-01-31,0.6285303311475207,1.0,0.9284344371584021
2025-02-28,0.9101493353335245,1.0,1.0
2025-03-31,0.3753769605752343,0.0,0.08458986858411435
2025-04-30,0.6038713641687043,1.0,0.8462378805623478
2025-05-31,0.8220897377176195,1.0,1.0
