date,static_baseline,binary_gate,probability_scaled
2012-05-31,-0.0026441897090448883,-0.0026441897090448883,-0.0026441897090448883
2012-06-01,-0.0029478757992017525,-0.003103469229187052,-0.0030460023626694152
2012-06-04,0.0006734094788042615,0.0,0.0001743600760992708
2012-06-05,0.010812448318956185,0.0,0.0027995734706024442
2012-06-06,0.003248370954625277,0.0,0.0008410725192832542
2012-06-07,0.0060503860970864045,0.0,0.0015665739992124356
2012-06-08,0.0014598460945304756,0.0,0.00037798528851647304
2012-06-11,-0.01156135194870791,0.0,-0.0029934805924718795
2012-06-12,-0.00013867159274549411,0.0,-3.590503285882528e-05
2012-06-13,0.0030539592288681364,0.0,0.0007907351771986196
2012-06-14,-0.0011300011783149581,0.0,-0.00029258140499167386
2012-06-15,-0.0015704465361174279,0.0,-0.000406622101657203
2012-06-18,0.003941039357407038,0.0,0.0010204191415420318
2012-06-19,0.006529530289401484,0.0,0.0016906346494767067
2012-06-20,0.004365313556966819,0.0,0.0011302727804506443
2012-06-21,-0.00248488657868365,0.0,-0.000643390131256636
2012-06-22,-0.008215793675493886,0.0,-0.0021272442036584446
2012-06-25,-0.001610859211076333,0.0,-0.00041708580509915887
2012-06-26,0.0018546788929033817,0.0,0.0004802159207508589
2012-06-27,0.0001233358740643283,0.0,3.193428822209543e-05
2012-06-28,-0.00040697225980991644,0.0,-0.00010537379770292007
2012-06-29,0.01869391006196964,0.0,0.004840252006528956
2012-07-02,0.008756718013920613,0.0,0.0022673010513575642
2012-07-03,0.004236458100993356,0.0,0.0015942973483265323
2012-07-04,0.0012074752043661331,0.0,0.0004317572791733789
2012-07-05,0.003259441416301976,0.0,0.0011654794669397161
2012-07-06,-0.0036888983258992957,0.0,-0.0013190405058243883
2012-07-09,-0.0063384192609057255,0.0,-0.0022664305191967982
2012-07-10,0.006489865146675766,0.0,0.0023205830710219923
2012-07-11,9.471221018405435e-05,0.0,3.3866274044965666e-05
2012-07-12,-0.0024524363173972223,0.0,-0.0008769184062054963
2012-07-13,0.004265047059474661,0.0,0.0015250541852011613
2012-07-16,-0.0024228466324078225,0.0,-0.0008663380134682995
2012-07-17,0.002364185101514424,0.0,0.0008453623918745008
2012-07-18,-0.0016733344061793272,0.0,-0.0005983346968507334
2012-07-19,-0.0006830417194224965,0.0,-0.0002442354371115856
2012-07-20,0.0013797413834304275,0.0,0.0004933545496576524
2012-07-23,-0.005946930107515609,0.0,-0.0021264456225443327
2012-07-24,-0.005263082608218854,0.0,-0.0018819220624759659
2012-07-25,0.0008970754430247928,0.0,0.0003207675413069548
2012-07-26,0.0023198626816119967,0.0,0.0008295140105957332
2012-07-27,4.1145771063143266e-05,0.0,1.4712505978985548e-05
2012-07-30,3.1540054693347764e-05,0.0,1.1277787030440948e-05
2012-07-31,-0.0030253075947046285,0.0,-0.0010817601645392969
2012-08-01,0.007625071816732191,0.0,-0.0003883740236777858
2012-08-02,-0.0004203116676121056,0.0,0.0
2012-08-03,0.0024215873177789813,0.0,0.0
2012-08-06,0.0023457335111645287,0.0,0.0
2012-08-07,0.0011745307450680706,0.0,0.0
2012-08-08,0.0009562452726106358,0.0,0.0
2012-08-09,0.0029277321064111765,0.0,0.0
2012-08-10,-0.0018372685845519697,0.0,0.0
2012-08-13,-0.0061651835169788645,0.0,0.0
2012-08-14,-0.0013946132427640778,0.0,0.0
2012-08-15,-0.0011258687392207323,0.0,0.0
2012-08-16,0.0020181966542005235,0.0,0.0
2012-08-17,0.0026782540831674128,0.0,0.0
2012-08-20,-0.0014287584419316835,0.0,0.0
2012-08-21,-0.002833674425016996,0.0,0.0
2012-08-22,-0.0062412859345960985,0.0,0.0
2012-08-23,-0.0013420759673436512,0.0,0.0
2012-08-24,0.0005970130791891604,0.0,0.0
2012-08-27,-0.0028180185040914004,0.0,0.0
2012-08-28,-0.007442420600085131,0.0,0.0
2012-08-29,-0.0030454391659211822,0.0,0.0
2012-08-30,-0.0007871398183930709,0.0,0.0
2012-08-31,0.000819639817353677,0.0,0.0
2012-09-03,-0.0035577339901914007,-0.004474991875083116,-0.0027603077398645915
2012-09-04,-1.4957140834858545e-05,-1.4957140834858545e-05,-9.226008172794184e-06
2012-09-05,0.004003984910356903,0.004003984910356903,0.002469776671528351
2012-09-06,0.005848862848267878,0.005848862848267878,0.0036077521122159393
2012-09-07,-0.004343087245082864,-0.004343087245082864,-0.0026789450511095617
2012-09-10,0.0008413529952800657,0.0008413529952800657,0.0005189714863530759
2012-09-11,-0.008225184063501171,-0.008225184063501171,-0.005073537531701435
