regime,observations,mean_next_return,median_next_return,next_negative_rate,worst_next_return
extreme_risk_off,6,-0.016631656243834374,0.001971067683543881,0.5,-0.1397677790987687
neutral,137,0.004749020793284028,0.0026423703384585995,0.43795620437956206,-0.11180464190681594
risk_off,25,0.006234360933997216,0.00021010243181085464,0.44,-0.0657817369164102
risk_on,28,0.005632263506958259,0.0028151086652172808,0.39285714285714285,-0.039090866409262626
