date,training_months,selected_features,positive_training_rate,probability
2012-05-31,60,80,0.5,0.42767639820375236
2012-06-30,61,80,0.5081967213114754,0.4572710920138598
2012-07-31,62,80,0.5161290322580645,0.2512616042148266
2012-08-31,63,80,0.5079365079365079,0.5350488995455431
2012-09-30,64,80,0.515625,0.8394989192447325
2012-10-31,65,80,0.5076923076923077,0.42508078168929186
2012-11-30,66,80,0.5151515151515151,0.32306202873262635
2012-12-31,67,80,0.5223880597014925,0.47590181372068247
2013-01-31,68,80,0.5294117647058824,0.24586992033331803
2013-02-28,69,80,0.5217391304347826,0.37104034080489295
2013-03-31,70,80,0.5285714285714286,0.16003993473441727
2013-04-30,71,80,0.5352112676056338,0.2717665911742878
2013-05-31,72,80,0.5277777777777778,0.986471627958292
2013-06-30,73,80,0.5205479452054794,0.9327738558417948
2013-07-31,74,80,0.5135135135135135,0.19906995458913987
2013-08-31,75,80,0.5066666666666667,0.4734923472050319
2013-09-30,76,80,0.5131578947368421,0.6447735899813786
2013-10-31,77,80,0.5194805194805194,0.4812555033853354
2013-11-30,78,80,0.5128205128205128,0.39071676725924115
2013-12-31,79,80,0.5063291139240507,0.839191749954678
2014-01-31,80,80,0.5125,0.4083786160833466
2014-02-28,81,80,0.5061728395061729,0.12653501388813257
2014-03-31,82,80,0.5121951219512195,0.808410304305059
2014-04-30,83,80,0.5060240963855421,0.29864995340218603
2014-05-31,84,80,0.5119047619047619,0.6272664860709931
2014-06-30,85,80,0.5058823529411764,0.27273746715512465
2014-07-31,86,80,0.5116279069767442,0.0046992097374811805
2014-08-31,87,80,0.5172413793103449,0.5053613266919568
2014-09-30,88,80,0.5113636363636364,0.4249611807226701
2014-10-31,89,80,0.5168539325842697,0.18131610710512117
2014-11-30,90,80,0.5222222222222223,0.7791530711358254
2014-12-31,91,80,0.5164835164835165,0.15330585982892528
2015-01-31,92,80,0.5108695652173914,0.13006700321665804
2015-02-28,93,80,0.5161290322580645,0.9980147995590615
2015-03-31,94,80,0.5212765957446809,0.6485685657526656
2015-04-30,95,80,0.5157894736842106,0.6972908640662635
2015-05-31,96,80,0.5208333333333334,0.8287599309638324
2015-06-30,97,80,0.5154639175257731,0.7886454715254801
2015-07-31,98,80,0.5102040816326531,0.9065770421902167
2015-08-31,99,80,0.5050505050505051,0.0740764613345581
2015-09-30,100,80,0.5,0.7273422878729227
2015-10-31,101,80,0.504950495049505,0.6477992804474465
2015-11-30,102,80,0.5098039215686274,0.8174472944444328
2015-12-31,103,80,0.5048543689320388,0.41313612963580765
2016-01-31,104,80,0.5096153846153846,0.7802173702225661
2016-02-29,105,80,0.5047619047619047,0.017764915341967828
2016-03-31,106,80,0.5094339622641509,0.8896146865679225
2016-04-30,107,80,0.514018691588785,0.15063957367526756
2016-05-31,108,80,0.5092592592592593,0.7192784937425645
2016-06-30,109,80,0.5137614678899083,0.420030124229726
2016-07-31,110,80,0.509090909090909,0.9401717624305295
2016-08-31,111,80,0.5135135135135135,0.13400226188735473
2016-09-30,112,80,0.5178571428571429,0.6294803406163092
2016-10-31,113,80,0.5221238938053098,0.47384083348581796
2016-11-30,114,80,0.5175438596491229,0.04555124308271009
2016-12-31,115,80,0.5217391304347826,0.2878951356616091
2017-01-31,116,80,0.5172413793103449,0.8099663436147736
2017-02-28,117,80,0.5213675213675214,0.07172945384772982
2017-03-31,118,80,0.5254237288135594,0.37116748763837876
2017-04-30,119,80,0.5210084033613446,0.689106079909466
2017-05-31,120,80,0.5166666666666667,0.44397816224668857
2017-06-30,121,80,0.512396694214876,0.31001185408467924
2017-07-31,122,80,0.5081967213114754,0.7085352452627778
2017-08-31,123,80,0.5121951219512195,0.41185473708550524
2017-09-30,124,80,0.5161290322580645,0.6215092094044983
2017-10-31,125,80,0.512,0.7653278389191803
2017-11-30,126,80,0.5079365079365079,0.0024280971343559245
2017-12-31,127,80,0.5118110236220472,0.7536671993735571
2018-01-31,128,80,0.5078125,0.361661404810655
2018-02-28,129,80,0.5116279069767442,0.49425147334678016
2018-03-31,130,80,0.5076923076923077,0.25668907922420414
2018-04-30,131,80,0.5114503816793893,0.6203692186588052
2018-05-31,132,80,0.5075757575757576,0.13698445495451783
2018-06-30,133,80,0.5112781954887218,0.5182426170042393
2018-07-31,134,80,0.5149253731343284,0.704669593724866
2018-08-31,135,80,0.5111111111111111,0.43582954612359603
2018-09-30,136,80,0.5147058823529411,0.7618369858127083
2018-10-31,137,80,0.5182481751824818,0.8330917744725813
2018-11-30,138,80,0.5217391304347826,0.9042825047662106
2018-12-31,139,80,0.5179856115107914,0.5210001445894162
2019-01-31,140,80,0.5214285714285715,0.9076538128723763
2019-02-28,141,80,0.524822695035461,0.5185622440348203
2019-03-31,142,80,0.528169014084507,0.9550929603386836
2019-04-30,143,80,0.5314685314685315,0.9927261178563858
2019-05-31,144,80,0.5277777777777778,0.6127474474773179
2019-06-30,145,80,0.5310344827586206,0.9563744868425051
2019-07-31,146,80,0.5342465753424658,0.9563618871613679
2019-08-31,147,80,0.5306122448979592,0.8998406813744643
2019-09-30,148,80,0.5337837837837838,0.8932633244521508
2019-10-31,149,80,0.5302013422818792,0.005108291863218206
2019-11-30,150,80,0.5333333333333333,0.5187463951475433
2019-12-31,151,80,0.5298013245033113,0.39851958390522635
2020-01-31,152,80,0.5328947368421053,0.6659414601756483
2020-02-29,153,80,0.5294117647058824,0.40422258235504255
2020-03-31,154,80,0.525974025974026,0.4576017672254563
2020-04-30,155,80,0.5290322580645161,0.9932362343211752
2020-05-31,156,80,0.532051282051282,0.9999961014184682
2020-06-30,157,80,0.5286624203821656,0.5038461096176641
2020-07-31,158,80,0.5253164556962026,0.6479458140701378
2020-08-31,159,80,0.5220125786163522,0.8964220985641655
2020-09-30,160,80,0.525,0.7536363833290266
2020-10-31,161,80,0.5279503105590062,0.2919677887525937
2020-11-30,162,80,0.5308641975308642,0.9958230736530315
2020-12-31,163,80,0.5276073619631901,0.9525475491044673
2021-01-31,164,80,0.5304878048780488,0.35329449429745835
2021-02-28,165,80,0.5272727272727272,0.012211954499245774
2021-03-31,166,80,0.5301204819277109,0.5799019792218018
2021-04-30,167,80,0.5269461077844312,0.919956218128736
2021-05-31,168,80,0.5297619047619048,0.46204243012728136
2021-06-30,169,80,0.5325443786982249,0.9448448461143439
2021-07-31,170,80,0.5294117647058824,0.2346388652188217
2021-08-31,171,80,0.5321637426900585,0.8990747825823576
2021-09-30,172,80,0.5290697674418605,0.02273916606574917
2021-10-31,173,80,0.5260115606936416,0.27743024937271094
2021-11-30,174,80,0.5229885057471264,0.030710312773718006
2021-12-31,175,80,0.52,0.00103089625819622
2022-01-31,176,80,0.5227272727272727,0.9404272639685228
2022-02-28,177,80,0.5254237288135594,0.2391764105647332
2022-03-31,178,80,0.5280898876404494,0.9984220034868192
2022-04-30,179,80,0.5307262569832403,0.17343752689571976
2022-05-31,180,80,0.5277777777777778,0.9981057136199638
