,avg_g10_abs_exposure,avg_em_abs_exposure,turnover,annual_cost_drag
static_baseline,0.9437832341686743,2.288007517939665,0.6754702284294801,0.018146611265764247
total_risk_scaling,0.9050661591776761,2.21234910856037,0.709608346286312,0.01837122767146805
em_trim,0.9437832341686743,2.1126695468698427,0.7247968697758281,0.018995557479383904
combined_defensive,0.9256855218216931,2.0814904283585602,0.7183041660183279,0.01860470539425324
