date,static,binary_filter,probability_scaled
2007-05-31,0.08078229375431412,,
2007-06-30,0.004554205014521084,,
2007-07-31,0.024497856495615755,,
2007-08-31,-0.0023907714150045445,,
2007-09-30,0.039570652490698466,,
2007-10-31,0.008525770054111037,,
2007-11-30,-0.028964982576921927,,
2007-12-31,0.007490987074173283,,
2008-01-31,-0.004339407992203892,,
2008-02-29,0.004082047557286916,,
2008-03-31,-0.06358537799904063,,
2008-04-30,0.059739578460652254,,
2008-05-31,0.028696205819511267,,
2008-06-30,-0.009402625265554243,,
2008-07-31,0.058343685887359165,,
2008-08-31,0.017577409426457136,,
2008-09-30,-0.07971806898957068,,
2008-10-31,-0.06563519939291351,,
2008-11-30,0.0027114819995148753,,
2008-12-31,-0.013119729252476953,,
2009-01-31,0.0028159084309302695,,
2009-02-28,0.014173935257913106,,
2009-03-31,0.008366699975710823,,
2009-04-30,0.04185942187556435,,
2009-05-31,0.01061117915583032,,
2009-06-30,0.024014011208242092,,
2009-07-31,0.010226150037860648,,
2009-08-31,-0.008181519572859619,,
2009-09-30,0.02563783524130714,,
2009-10-31,-0.01446326037646195,,
2009-11-30,-0.01808469574453264,,
2009-12-31,0.04856724673159496,,
2010-01-31,-0.022729013664042563,,
2010-02-28,-0.016967800131430177,,
2010-03-31,0.051941953474350155,,
2010-04-30,0.03677721577130644,,
2010-05-31,0.005905524854428412,,
2010-06-30,-0.02343631816776548,,
2010-07-31,-0.01161605661210452,,
2010-08-31,-0.02334916637278639,,
2010-09-30,0.028463656918988223,,
2010-10-31,-0.01738615428214474,,
2010-11-30,0.03619348064621697,,
2010-12-31,-0.010421027577067754,,
2011-01-31,-0.037789669734145326,,
2011-02-28,0.03867626414048719,,
2011-03-31,0.05469281115323321,,
2011-04-30,-0.018900380265611028,,
2011-05-31,-0.03306079827697006,,
2011-06-30,-0.0092385976411814,,
2011-07-31,-0.05299351551723741,,
2011-08-31,-0.0361031811696958,,
2011-09-30,-0.024350352522819696,,
2011-10-31,0.028680358312818566,,
2011-11-30,-0.035230689493446876,,
2011-12-31,-0.0036377105214253636,,
2012-01-31,0.04742757839669287,,
2012-02-29,0.05262920011669214,0.0,0.0
2012-03-31,-0.04907564969517453,-0.04907564969517453,-0.04907564969517453
2012-04-30,-0.035221661436624974,-0.035221661436624974,-0.035221661436624974
2012-05-31,-0.050730692568982105,-0.0,-0.0
2012-06-30,0.030791666123621608,0.030791666123621608,0.02410528009214491
2012-07-31,0.0036949927557961004,0.0,0.0
2012-08-31,-0.01335891144486634,-0.0,-0.0
2012-09-30,0.01442204883135112,0.01442204883135112,0.01442204883135112
2012-10-31,-0.014873467041857213,-0.0,-0.0
2012-11-30,0.01946973596172441,0.01946973596172441,0.01946973596172441
2012-12-31,0.07922211170402149,0.07922211170402149,0.07922211170402149
2013-01-31,0.048409531019222074,0.0,0.0
2013-02-28,-0.009878271774097391,-0.0,-0.0
2013-03-31,0.001312812604310043,0.001312812604310043,0.0013048310686747697
2013-04-30,0.028711533623957397,0.0,0.0
2013-05-31,-0.02983614748056518,-0.02983614748056518,-0.02983614748056518
2013-06-30,-0.05077294354854789,-0.0,-0.01576284851624276
2013-07-31,-0.01875144117345684,-0.01875144117345684,-0.015854201103444366
2013-08-31,-0.039090866409262626,-0.039090866409262626,-0.019886849785772272
2013-09-30,0.003605377869486448,0.0,3.482590613340511e-05
2013-10-31,0.010623923929014234,0.010623923929014234,0.010623923929014234
2013-11-30,-0.03246853016108009,-0.03246853016108009,-0.03246853016108009
2013-12-31,-0.02068820294479934,-0.02068820294479934,-0.02068820294479934
2014-01-31,0.00018930009743556298,0.00018930009743556298,0.00018930009743556298
2014-02-28,-0.0015810186142832805,-0.0015810186142832805,-0.0015810186142832805
2014-03-31,0.048176705969426914,0.0,0.019475413893209767
2014-04-30,-0.008502017260470063,-0.008502017260470063,-0.008502017260470063
2014-05-31,0.034271494473736785,0.0,0.0
2014-06-30,-0.03063022671386717,-0.03063022671386717,-0.03063022671386717
2014-07-31,0.03187638696436834,0.03187638696436834,0.03187638696436834
2014-08-31,0.04323586622408704,0.04323586622408704,0.04323586622408704
2014-09-30,-0.01712888891227282,-0.01712888891227282,-0.013927182773326361
2014-10-31,0.04022218278679679,0.0,0.0
2014-11-30,0.02377496794135925,0.02377496794135925,0.02377496794135925
2014-12-31,-0.004269217302688144,-0.004269217302688144,-0.004269217302688144
2015-01-31,-0.0008412189271399528,-0.0,-0.0
2015-02-28,0.00016896489738948972,0.00016896489738948972,0.00016896489738948972
2015-03-31,0.001935224574638461,0.001935224574638461,0.001935224574638461
2015-04-30,-0.026892190254182213,-0.0,-0.0
2015-05-31,0.019291187482707972,0.0,0.0
