strategy,return_type,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,turnover,cost_drag
static_baseline,gross,2010-03-01,2026-06-30,4262,0.06839983762653477,0.11092478909282336,4.882662236225136e-05,-0.6729777367954076,4.435551368630503,0.6166325686614276,-0.26782949992114136,0.010668412366072362,0.020918805828556028,0.0172208820540451,0.02876974579174004,0.5455185358986392,0.041327753448249585,-0.0490595446782842,0.020713460067860064,0.06419941695739118,0.8428730467355174,0.23970256068242593,0.6863986397112971,0.01758368404720408
static_baseline,net,2010-03-01,2026-06-30,4262,0.05081615357933068,0.11102686304754616,4.891652507213719e-05,-0.6697031782671417,4.39049626927653,0.45769241951444817,-0.29318494205516465,0.010796678751583005,0.02126515455772025,0.017325297796584364,0.02879934300724985,0.5405912717034256,0.041327753448249585,-0.0490595446782842,0.01830001943063299,0.04564208329150987,0.6216630093737626,0.15567676488283635,0.6863986397112971,0.01758368404720408
total_risk_scaling,gross,2010-03-01,2026-06-30,4262,0.06760539864582743,0.10471883089634695,4.351600612816551e-05,-0.6834891314235311,4.284157274911355,0.6455897002206296,-0.22701949762667661,0.010054263635186364,0.019893534440932673,0.01619238655963938,0.026900386291092374,0.5455185358986392,0.034281353064089796,-0.0490595446782842,0.021610668470460625,0.06406896501590253,0.8843269511654962,0.28221789619700893,0.7264586759718653,0.017847247314431845
total_risk_scaling,net,2010-03-01,2026-06-30,4262,0.04975815133139557,0.10480831559149782,4.359040879812303e-05,-0.6808818922205159,4.234471375266779,0.4747538499266943,-0.2502703175785371,0.010120585648328205,0.019893534440932673,0.016279393581030574,0.02694368941203891,0.5403566400750821,0.034281353064089796,-0.0490595446782842,0.019217293399409023,0.045240485451814694,0.6458307856933616,0.18076648437391227,0.7264586759718653,0.017847247314431845
em_trim,gross,2010-03-01,2026-06-30,4262,0.0943938251177935,0.10312489650146103,4.220136618427401e-05,-0.49614884659584657,3.9167555785983996,0.9153349803988037,-0.19733167511650562,0.009910001698967275,0.018966716314283975,0.015344940178867563,0.0250563399920335,0.5549038010323791,0.041327753448249585,-0.04597811132960746,0.010978473717822066,0.09313730079656124,1.2839465658092015,0.4719835309844327,0.7442819433320116,0.0185798313992247
em_trim,net,2010-03-01,2026-06-30,4262,0.0758139937185688,0.10324508296946965,4.2299790307034404e-05,-0.4954506045181601,3.8739178954719753,0.7343109379938952,-0.2060925051999678,0.00998458223663944,0.019062349385008122,0.015461722557856637,0.025064266386319357,0.5495072735804787,0.041327753448249585,-0.04597811132960746,0.00953442735283479,0.07300707927618721,1.02211984694177,0.3542442225414737,0.7442819433320116,0.0185798313992247
combined_defensive,gross,2010-03-01,2026-06-30,4262,0.09275762440270097,0.10024163991053688,3.987454909505451e-05,-0.5183378418680008,3.724342749894549,0.9253402526683003,-0.1931162029004745,0.009671051251541381,0.01823971114780386,0.014884306422942755,0.024430089045950874,0.5549038010323791,0.03719497810342462,-0.04177697196876854,0.011859424013646603,0.09167107230779581,1.2974355771930732,0.4746938420026825,0.7366629542288227,0.01812120838708523
combined_defensive,net,2010-03-01,2026-06-30,4262,0.07463641601561573,0.10033840577835394,3.9951570135482585e-05,-0.5180031937132931,3.6818507671820937,0.7438469391320256,-0.20174659137928153,0.00976812273215019,0.0186361988967259,0.014991578898736377,0.024469326382291955,0.5495072735804787,0.03719497810342462,-0.04177697196876854,0.01034317035895841,0.07206208979540696,1.0349407239154598,0.3571911143714491,0.7366629542288227,0.01812120838708523
