regime,observations,mean_next_return,median_next_return,positive_return_rate,mean_probability
risk_off,58,0.0116090399017272,0.007840442810395754,0.6551724137931034,0.2141242685797212
neutral,37,0.0038116129644021066,0.006973386441342377,0.6486486486486487,0.475061348944298
risk_on,74,0.0019079445520078515,0.00046568746567943187,0.527027027027027,0.8083279555924497
