regime,observations,mean_next_return,median_next_return,positive_rate,mean_probability
risk_off,70,0.011822361898812628,0.006969718501403599,0.6714285714285714,0.13911379417302316
neutral,25,-0.0010786251528123447,0.0020916025181116904,0.56,0.49757202376519205
risk_on,78,0.000930043373730407,0.0001997012646232088,0.5256410256410257,0.853689188862765
