mapping,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,turnover,cost_drag
mild,0.050757075358768236,0.10799762189093247,0.46998326879853103,0.6389617161195462,0.1768272562129406,-0.25973763043896736,0.696559026005968,0.01756843999291734
base_case,0.04975815133139557,0.10480831559149782,0.4747538499266943,0.6458307856933616,0.18076648437391227,-0.2502703175785371,0.7264586759718653,0.017847247314431845
strong,0.04832247152252541,0.10246352445349989,0.4716065719997282,0.641715899799253,0.1741518890369844,-0.252627632351757,0.7651865647231593,0.018319357100010134
