,W,2W,ME,QE
20,0.2052811300372454,0.43150514701000425,0.486028127202418,0.42355199640942265
40,0.2682842447091688,0.47501560092848044,0.5007316938710652,0.3817672575182427
60,0.22809555221961506,0.4308517258555825,0.46592326747832413,0.36775676347777914
90,0.16016384844496742,0.3736727468642386,0.4022253960999654,0.3790214000203136
120,0.12228213298107062,0.32295076534665235,0.35062769328736637,0.3895787002852154
