,corr,TLT_ret_%,book_SR,hedged_SR,d_SR
2007,-0.3511932958425844,11.918179452019288,1.5282857116962685,1.5282857116962685,0.0
2008,-0.3834729262438799,28.095325159808947,-0.464070136604985,-0.464070136604985,0.0
2009,-0.3173013215644425,-23.742859398620933,1.632919087269509,1.3467284733641915,-0.2861906139053174
2010,-0.3111321659830353,8.36133358440613,0.30739709260447917,0.5334565755488619,0.22605948294438277
2011,-0.4162414959177034,25.697104707279227,-1.0085393695980662,-0.5534395270468117,0.4550998425512546
2012,-0.2691348671740753,2.5075648440407052,0.7747117016696206,0.8640214484030684,0.08930974673344783
2013,-0.21699491881421312,-13.859435352069422,-0.8355854481044015,-1.139640055821592,-0.3040546077171905
2014,-0.30254315593429937,23.303378482239783,1.3561966879418466,1.9193414189097229,0.5631447309678763
2015,-0.16922653112518313,-1.7411918971566158,-0.48478287346514615,-0.5235510215116632,-0.03876814804651707
2016,-0.16759709541978826,1.1321754841053815,1.2990614828872633,1.338274272460358,0.03921278957309471
2017,-0.12333455717118753,8.513778358037413,0.23771902201019926,0.4226796908417242,0.18496066883152493
2018,-0.12102069711208706,-1.5649361105379882,-0.7106786957122532,-0.7461615930105368,-0.03548289729828358
2019,-0.36491308511811693,12.753146513182328,1.300147961836114,1.6892741672068368,0.38912620537072273
2020,-0.4664280993131695,16.043586441117807,-1.2557181146223486,-1.106928832122172,0.14878928250017665
2021,-0.12839233310802417,-4.549112337305943,-0.6242597391646224,-0.7127204932923497,-0.08846075412772725
2022,-0.146346206467773,-36.30893740751987,1.6539988200249398,0.8670274527208568,-0.786971367304083
2023,0.061729029096477823,2.64557441248166,1.3285450329784771,1.2703717603167113,-0.05817327266176586
2024,-0.17735493514343842,-8.081053026340072,1.4764973601440106,1.3568438636242874,-0.11965349651972312
2025,-0.11987466925235897,4.016228139966879,1.7081440504908398,1.7806265560105439,0.07248250551970403
2026,-0.14171963521247952,1.9996450388768228,3.937581118654363,4.01300040826957,0.07541928961520705
