,beta,sharpe,vs_no_hedge
roll fix: spot substitute,0.2920239627838036,0.4457842441960732,-0.021503593998486392
roll fix: drop the day,0.29550488753537885,0.4394516649623838,-0.027836173232175798
no roll fix at all,0.2887994202692614,0.4443898877997854,-0.022897950394774214
cost: median spread,0.2920239627838036,0.4457842441960732,-0.021503593998486392
cost: 2x spread,0.2920239627838036,0.4411746508101098,-0.026113187384449787
cost: 5x spread,0.2920239627838036,0.42733194056523544,-0.039955897629324166
cost: mean spread (stale prints incl.),0.2920239627838036,0.4399746039637537,-0.027313234230805894
