,alpha_ann,beta,r2,t_alpha,t_beta,n_obs,ann_ret_unhedged,alpha_vs_ret
G10_net,0.014004099984782874,-0.008998655664803842,3.338276871978074e-05,0.5576849798826654,-0.22132891243501088,4979.0,0.013908786613452217,1.0068527452451153
EM_net,0.042914923623189945,-0.09413005720450618,0.003975852725387807,1.5098171186479812,-2.0848831582775937,4979.0,0.04191790213132427,1.0237850999494706
ALL_net,0.049502419691502784,0.29910589995307874,0.03922527257010866,1.8577323507165564,6.2091693171467215,4979.0,0.05267053643819876,0.939850304156038
