hedge_fraction,G10_net,EM_net,ALL_net
0.0,0.13648928879069905,0.3244540927213608,0.45385102552035245
0.1,0.1325983856843916,0.32727394176253766,0.4503328132193201
0.2,0.1286355303746525,0.32982477067711974,0.44619074345149456
0.3,0.12460463872970427,0.33208743894117676,0.44140839358102185
0.4,0.12050992241138118,0.3340446143269939,0.4359760008773561
0.5,0.11635586834884107,0.3356811539026869,0.4298911913163178
0.6,0.11214721507107162,0.336984450823644,0.42315951306871735
0.7,0.10788892617501403,0.33794473173863837,0.41579473015108115
0.8,0.10358616126826192,0.3385552911607976,0.4078188441304627
0.9,0.099244244779861,0.33881265169280117,0.39926182823042167
1.0,0.09486863307778359,0.33871664239674554,0.39016107716430076
1.1,0.09046488036566654,0.3382703916138816,0.3805605955339703
1.2,0.08603860385321085,0.33748023484736084,0.37050996550777493
1.3,0.08159544870364974,0.336355542566843,0.36006314873501283
1.4,0.07714105325776068,0.33490847663046297,0.3492771865720118
1.5,0.07268101501744087,0.3331536871506151,0.33821086592412025
