spread_multiple,net_sharpe,cost_drag_annual
1.0,0.46592326747832413,0.018146611265764313
1.5,0.38429179850244094,0.027219916898646473
2.0,0.302665240563062,0.03629322253152863
3.0,0.1401728834362943,0.05443983379729295
5.0,-0.17688650408090711,0.09073305632882159
