,sharpe,ann_vol,ann_return,max_dd,skew,d_sharpe
unhedged,0.4672878381945596,0.11199116804975111,0.052332110814851826,-0.3322331117648022,-0.6478862132940291,0.0
static (in-sample) gross,0.5265110569461474,0.10869444612561634,0.05722882771377434,-0.322644303090219,-0.6067317323511944,0.059223218751587814
static (in-sample) net,0.5265110569461474,0.10869444612561634,0.05722882771377434,-0.322644303090219,-0.6067317323511944,0.059223218751587814
expanding (real-time) gross,0.5095477869408819,0.10963710275656241,0.05586534307621644,-0.32169254837216854,-0.597189309474653,0.04225994874632227
expanding (real-time) net,0.5095095608898718,0.10963714579237537,0.055861174009892024,-0.3216984019398466,-0.5971913495014932,0.04222172269531216
