,sharpe
-0.6,0.4443826825771281
-0.575,0.44617530711090664
-0.5499999999999999,0.44792301546919017
-0.525,0.4496222779404573
-0.5,0.4512694693177751
-0.475,0.452860875617419
-0.44999999999999996,0.45439270188387193
-0.425,0.45586108112280643
-0.4,0.4572620843951819
-0.375,0.45859173209550347
-0.35,0.4598460064255691
-0.325,0.461020865061686
-0.3,0.46211225599840416
-0.275,0.4631161335353953
-0.25,0.46402847535635294
-0.22500000000000003,0.46484530062988944
-0.2,0.46556268904265047
-0.175,0.46617680065453876
-0.15000000000000002,0.4666838964454531
-0.125,0.4670803594027075
-0.10000000000000003,0.46736271597879225
-0.07500000000000007,0.46752765773086796
-0.050000000000000044,0.46757206293690007
-0.025000000000000022,0.4674930179691682
0.0,0.4672878381945596
0.025000000000000022,0.4661778163954543
0.04999999999999993,0.46493265230022285
0.07499999999999996,0.46355107963865305
0.09999999999999998,0.462032154939649
0.125,0.4603752701671433
0.1499999999999999,0.45858016329457973
0.17499999999999993,0.45664692664121104
0.19999999999999996,0.45457601281933196
0.22499999999999998,0.45236823817121136
0.25,0.45002478360733666
0.2749999999999999,0.44754719279296484
0.29999999999999993,0.444937367667114
0.32499999999999996,0.44219756131617965
0.35,0.4393303682624458
0.3749999999999999,0.43633871226496285
0.3999999999999999,0.43322583176571533
0.42499999999999993,0.4299952631468674
0.44999999999999984,0.4266508219943858
0.475,0.42319658258886605
0.4999999999999999,0.41963685586539784
0.525,0.41597616610040555
0.5499999999999999,0.4122192265943768
0.5749999999999998,0.40837091462514613
0.6,0.40443624594701627
0.6249999999999999,0.40042034910668106
0.65,0.39632843983798655
0.6749999999999999,0.3921657957845069
0.6999999999999998,0.38793773178219126
0.725,0.383649575914625
0.7499999999999999,0.37930664653129137
0.7749999999999998,0.3749142303953347
0.7999999999999999,0.3704775621023096
0.8249999999999998,0.36600180488587786
0.85,0.3614920329009721
0.8749999999999999,0.3569532150500693
0.8999999999999998,0.3523902003943873
0.9249999999999999,0.34780770516939447
0.9499999999999998,0.34321030140331704
0.975,0.33860240711856676
0.9999999999999999,0.33398827807935105
1.025,0.32937200103426806
1.0499999999999998,0.3247574883904315
1.0749999999999997,0.3201484742456195
1.1,0.3155485116970081
1.125,0.31096097133912326
1.15,0.3063890408595944
1.1749999999999998,0.30183572563894945
1.2,0.29730385025989026
