book,period,sharpe_unhedged,sharpe_hedged,delta,avg_beta,n_days
G10_net,pre-2010,-0.45765162208933285,-0.5791459752739877,-0.12149435318465485,-0.2136210961224141,442.0
G10_net,2010-2020 (underwater),0.16199561586725417,0.12628055627647033,-0.03571505959078383,0.0641303866011589,2600.0
G10_net,2021-2026 (surge),0.6005736530431086,0.5785613687365361,-0.022012284306572538,0.1772426479198545,1423.0
EM_net,pre-2010,0.7827491503881567,0.8563973967858618,0.07364824639770506,-0.21885707440912605,442.0
EM_net,2010-2020 (underwater),0.0501551103169394,0.015584957131743063,-0.03457015318519634,-0.048957817996474154,2600.0
EM_net,2021-2026 (surge),0.9875077358865432,1.0201630933542027,0.032655357467659574,-0.05036448939552795,1423.0
ALL_net,pre-2010,0.603024743370207,0.48032944390003857,-0.12269529947016838,-0.005853301887114727,442.0
ALL_net,2010-2020 (underwater),0.1776028875854704,0.09084093190932734,-0.08676195567614307,0.40738961962720516,2600.0
ALL_net,2021-2026 (surge),1.292154179586691,1.2403721978689817,-0.051781981717709424,0.4282989790996708,1423.0
