,book,TLT,h_expanding,hedged_net
2007-05-01,-0.0005235589187550537,0.0007214774567350091,,-0.0005235589187550537
2007-05-02,0.004055728660178856,-0.0005655586099511112,,0.004055728660178856
2007-05-03,0.005999101317026727,-0.002263206155125097,,0.005999101317026727
2007-05-04,0.002224186384786938,0.004071201992459805,,0.002224186384786938
2007-05-07,0.010062273428017366,0.0027053250981996513,,0.010062273428017366
2007-05-08,0.00260500751193227,-0.0022541142116949686,,0.00260500751193227
2007-05-09,0.0022911973449202937,-0.003956688717442702,,0.0022911973449202937
2007-05-10,0.009772417639636787,0.0023765590982876006,,0.009772417639636787
2007-05-11,-0.004239386989495974,-0.0035094444213488174,,-0.004239386989495974
2007-05-14,0.009303877783442488,-0.002611077028534581,,0.009303877783442488
2007-05-15,-2.0305080101357814e-05,-0.00034156543689878305,,-2.0305080101357814e-05
2007-05-16,0.015978664859337736,-0.0006823602308703158,,0.015978664859337736
2007-05-17,0.0004239659009681303,-0.004105093771525681,,0.0004239659009681303
2007-05-18,-0.0035227725558117217,-0.006649854871577432,,-0.0035227725558117217
2007-05-21,0.01522251997967848,0.002986555940519331,,0.01522251997967848
2007-05-22,0.008243306612781536,-0.005175567075749399,,0.008243306612781536
2007-05-23,-0.0021675311339477707,-0.002885919566685047,,-0.0021675311339477707
2007-05-24,-0.008944605999113493,0.0009242186912965522,,-0.008944605999113493
2007-05-25,0.006453699060916915,-0.002312150292403281,,0.006453699060916915
2007-05-28,0.005963019999952892,0.0,,0.005963019999952892
2007-05-29,-0.003959268394230118,-0.000116318187392217,,-0.003959268394230118
2007-05-30,-0.003577901600018145,0.0020825555963259745,,-0.003577901600018145
2007-05-31,0.006624258202609861,-0.0018510729259890724,,0.006624258202609861
2007-06-01,0.00781431284186031,-0.005251738258296612,,0.00781431284186031
2007-06-04,-0.006894497854533402,0.0045468606588174865,,-0.006894497854533402
2007-06-05,-0.007428984979005739,-0.0063009079492744036,,-0.007428984979005739
2007-06-06,-0.009734527839421074,-0.00046742362580598495,,-0.009734527839421074
2007-06-07,-0.0017378213917943201,-0.018079181144242007,,-0.0017378213917943201
2007-06-08,-0.0052184165915609365,-0.0008343343683847593,,-0.0052184165915609365
2007-06-11,0.007486988550102986,-0.0028687225379160353,,0.007486988550102986
2007-06-12,0.0058180560078071415,-0.014586299576968997,,0.0058180560078071415
2007-06-13,-0.0005134393569139026,0.011830589496121036,,-0.0005134393569139026
2007-06-14,0.01244386665759576,-0.0025237074980397622,,0.01244386665759576
2007-06-15,0.00462098741703321,0.006834965366667056,,0.00462098741703321
2007-06-18,0.013188426616446588,-0.002033490505990443,,0.013188426616446588
2007-06-19,0.0015890553371534829,0.009295801901848755,,0.0015890553371534829
2007-06-20,-0.011191316315807508,-0.008099613362478664,,-0.011191316315807508
2007-06-21,-0.0027098637109577188,-0.004794542217404718,,-0.0027098637109577188
2007-06-22,-0.007027375953441874,0.0064672744410918526,,-0.007027375953441874
2007-06-25,-0.0041459584398016195,0.00547683531145271,,-0.0041459584398016195
2007-06-26,-0.003659997764593385,0.00023759608777051966,,-0.003659997764593385
2007-06-27,-0.00041068687422680895,0.0009498202341342576,,-0.00041068687422680895
2007-06-28,0.011755308226209344,-0.00023737049456595827,,0.011755308226209344
2007-06-29,0.0010404786360389022,0.010266973583041406,,0.0010404786360389022
2007-07-02,0.004858914674817194,0.005219130387032145,,0.004858914674817194
2007-07-03,0.0037422272268286235,-0.006115657614275349,,0.0037422272268286235
2007-07-04,0.004669341057265578,0.0,,0.004669341057265578
2007-07-05,0.0037029892558276163,-0.01127027552331672,,0.0037029892558276163
2007-07-06,0.002864833402280253,-0.0040645262094169965,,0.002864833402280253
2007-07-09,0.009124505446969581,0.003587546311082157,,0.009124505446969581
2007-07-10,-0.004835089744286749,0.016807040550498087,,-0.004835089744286749
2007-07-11,0.00657536148455151,-0.010381713487069177,,0.00657536148455151
2007-07-12,0.004547475521115423,-0.0034458931877265897,,0.004547475521115423
2007-07-13,0.006510239338717097,0.0027340033220335513,,0.006510239338717097
2007-07-16,-4.073660462309897e-07,0.009566866220864334,,-4.073660462309897e-07
2007-07-17,0.0022957939555931384,-0.0021183305546683684,,0.0022957939555931384
2007-07-18,-0.0030786079961181065,0.0037632065296655526,,-0.0030786079961181065
2007-07-19,0.004305935855507421,-0.00023514446294381486,,0.004305935855507421
2007-07-20,-0.006927800547136136,0.008998035337477006,,-0.006927800547136136
2007-07-23,0.008124829869530812,-0.0016305133697827046,,0.008124829869530812
2007-07-24,-0.0020840104622614182,0.0037225025666050016,,-0.0020840104622614182
2007-07-25,0.0013205299167509624,0.0019710023183687753,,0.0013205299167509624
2007-07-26,-0.02562701984819755,0.008308141866161023,,-0.02562701984819755
2007-07-27,-0.0005133438798067134,0.0028683291532027866,,-0.0005133438798067134
2007-07-30,0.0008024486433824933,-0.0028683291532027866,,0.0008024486433824933
2007-07-31,0.004390804384379523,0.00721231474695383,,0.004390804384379523
2007-08-01,0.0015472362705376387,-0.002164047645537792,,0.0015472362705376387
2007-08-02,0.0023953755143002495,0.0025218527325279183,,0.0023953755143002495
2007-08-03,-0.008936925586688765,0.0066179946434408166,,-0.008936925586688765
2007-08-06,0.0004392768439023683,-0.007304736648314325,,0.0004392768439023683
2007-08-07,0.0035395754205911904,-0.0008021675688407726,,0.0035395754205911904
2007-08-08,0.0020479414060761347,-0.012227873879422368,,0.0020479414060761347
2007-08-09,-0.008862809111994944,0.0013921359563751068,,-0.008862809111994944
2007-08-10,-0.005034351819401738,-0.0023213044513932246,,-0.005034351819401738
2007-08-13,0.006099359294285286,0.002899943875363853,,0.006099359294285286
2007-08-14,-0.0053574501480367735,0.0026610361079626443,,-0.0053574501480367735
2007-08-15,-0.007237904296786847,-0.003588374375337544,,-0.007237904296786847
2007-08-16,-0.02687704822851556,0.01026656602797793,,-0.02687704822851556
2007-08-17,0.007646130646168342,-0.004024217868901836,,0.007646130646168342
2007-08-20,0.00699127391861639,0.0005752401337586477,,0.00699127391861639
2007-08-21,7.871395212450251e-05,0.004825468103544672,,7.871395212450251e-05
2007-08-22,0.007807738998922105,-0.001606648452267656,,0.007807738998922105
2007-08-23,0.004620453804834936,0.003437912976464119,,0.004620453804834936
2007-08-24,0.002743981687019091,0.004906563708686029,,0.002743981687019091
2007-08-27,0.0015584369585500105,0.005223288724585551,,0.0015584369585500105
2007-08-28,-0.01007494434280691,0.0016961682788112498,,-0.01007494434280691
