,beta_calm,beta_stress,r2_calm,r2_stress,roll_beta_std,beta_shift
G10_net,0.056519433347245275,-0.03136756171947856,0.0004939730140668397,0.0009605863969448514,0.2980124579698917,-0.08788699506672384
EM_net,-0.06515372990882054,-0.10396081140354693,0.0006989285599551254,0.012086990453064606,0.43659298873381785,-0.03880708149472639
ALL_net,0.3859269450426085,0.26943491470752245,0.024581648195283412,0.07500973168334968,0.4053734254060036,-0.11649203033508604
