date,G10_net,EM_net,ALL_net
2008-04-16,0.09388793617611252,-0.3084288666245584,0.049684087180505467
2008-04-17,0.09663147711320559,-0.3039001169662318,0.05311645494346647
2008-04-18,0.09895627934737077,-0.29914912868343374,0.059426855519840165
2008-04-21,0.09368937499849711,-0.3105386649918115,0.046066111148850765
2008-04-22,0.08950547593463867,-0.31452175466515475,0.04127933324857946
2008-04-23,0.10115930580312424,-0.3090470353982048,0.04507465058885137
2008-04-24,0.08084610847577649,-0.3020229025300025,0.044248811561825294
2008-04-25,0.0745742094650854,-0.2982519435670726,0.046012579735503496
2008-04-28,0.07455592210950242,-0.31057771248218574,0.03458104893569284
2008-04-29,0.06513291767295772,-0.3164753774245593,0.026969560365123657
2008-04-30,0.057126068767942,-0.3233437601274818,0.020390399556157613
2008-05-01,0.05795321854602773,-0.31884065808046347,0.031152648520114772
2008-05-02,0.06567100392144512,-0.33243791053746863,0.016036962960369685
2008-05-05,0.060649115755512975,-0.33055458238948127,0.0175514258945712
2008-05-06,0.0604259688107661,-0.32981082694057035,0.017660881587580633
2008-05-07,0.04784622172472749,-0.3452031766447746,-0.006412420377237269
2008-05-08,0.04839349042442077,-0.3463993849842869,-0.007680868483991674
2008-05-09,0.05711389369723828,-0.3389734200128742,0.003617992017269792
2008-05-12,0.05732119299642017,-0.33896199999270726,0.004980908005155776
2008-05-13,0.05581834554027364,-0.3288089574539125,0.012204955539247756
2008-05-14,0.05432317408881683,-0.32675983509856715,0.010706687884055549
2008-05-15,0.05422697401467146,-0.3267803030233041,0.010725010240346802
2008-05-16,0.04017980289422953,-0.32354879490006244,0.0052008849510332715
2008-05-19,0.03973969531300548,-0.32193951579188523,0.006799581451347174
2008-05-20,0.03847795866539216,-0.30425067452562926,0.019106542607789257
2008-05-21,0.04219247796859868,-0.2972001677182693,0.023156195087241566
2008-05-22,0.04185085690747818,-0.29907607935380387,0.02059027161745235
2008-05-23,0.041674461566096006,-0.2983384624597493,0.021820367591763392
2008-05-26,0.042034069988778594,-0.29562544735218205,0.025414839524422948
2008-05-27,0.025724327288593172,-0.28813563342800697,0.03582543496394664
2008-05-28,0.02655262254834342,-0.28212385999257833,0.03917343558577689
2008-05-29,0.018957732031962368,-0.2647130265743304,0.04574657148520138
2008-05-30,0.015504849854909016,-0.2666728201986682,0.04500496465837429
2008-06-02,0.015498341529270983,-0.2706664590237224,0.039628406523138295
2008-06-03,0.020673125426468344,-0.26731020941960365,0.043950409599414424
2008-06-04,0.024233476927064578,-0.2614003968835339,0.04649603676101546
2008-06-05,0.024448810207248543,-0.26306791549381775,0.05000991563921356
2008-06-06,0.026556338997969633,-0.255945680616697,0.058334605099290344
2008-06-09,0.019021988836152352,-0.2481700678132125,0.0688070034215262
2008-06-10,0.007847993758719692,-0.253210232367706,0.059077635436178375
2008-06-11,0.00978105183269833,-0.25690421777720457,0.05795122614131765
2008-06-12,0.006002591079137457,-0.24322100725052961,0.06672632991621426
2008-06-13,0.01053974963229594,-0.2430647390712777,0.06709060679213467
2008-06-16,0.005033909372004835,-0.24784813989429447,0.05662896963774605
2008-06-17,0.0048230123038527735,-0.24864728699111308,0.05608076497765556
2008-06-18,0.007937489705406134,-0.24472086888689376,0.06184619719089771
2008-06-19,0.009651669877722808,-0.2442588301988487,0.06199338202971875
2008-06-20,0.011497346541684382,-0.23717642004189785,0.06738769064701292
2008-06-23,0.014499389932528636,-0.24781289530050007,0.05843845170140991
2008-06-24,0.014521222492720377,-0.24550986566703317,0.059882969185046556
2008-06-25,0.012286030206927707,-0.249300239844301,0.057287501147865405
2008-06-26,-0.0038345988499270075,-0.21689026094673902,0.07714985157366566
2008-06-27,-0.0010802799884123521,-0.21542446143747646,0.07858653662430053
2008-06-30,0.0002048529997443491,-0.2158877816289018,0.07868826373647238
2008-07-01,0.001086384387706218,-0.21376010784103971,0.08034591861264284
2008-07-02,0.002883321414734142,-0.2189294371704814,0.07223115860717122
2008-07-03,0.015368932805434717,-0.21358222975541682,0.08077759191237484
2008-07-04,0.01674640083396721,-0.21365939933258957,0.08044152063686548
2008-07-07,0.01709899367956323,-0.21320162953143695,0.08029024240746478
2008-07-08,0.016248709202089814,-0.2208177612751607,0.07832178214479366
2008-07-09,0.016229104822364653,-0.2129642413906015,0.07890610477101259
2008-07-10,0.012793105987141435,-0.21533686441663047,0.07730417628152032
2008-07-11,0.0012742492426617233,-0.21644977188361506,0.07946912848646552
2008-07-14,-0.01418752295389272,-0.2256701919280703,0.06835056705298581
2008-07-15,0.02333074914035216,-0.23071788649082173,0.07010441623661758
2008-07-16,0.022889079052722434,-0.22745910374978923,0.07364148035911307
2008-07-17,0.02437326813572898,-0.21943585873079835,0.08105451375027896
2008-07-18,0.021528688744433394,-0.21981183458728484,0.08053676946461412
2008-07-21,0.02285888826559921,-0.21890319224274007,0.08137381303927683
2008-07-22,0.014762168615719213,-0.21864377490868286,0.08047685323194037
2008-07-23,0.005137883986505144,-0.2092237118624261,0.08913009496322397
2008-07-24,0.0029785901163179363,-0.21131640828032858,0.08542935089172675
2008-07-25,0.005458757352477572,-0.21104610188921297,0.08577351592793984
2008-07-28,0.021984299661779012,-0.19873621769384736,0.09516996943038204
2008-07-29,0.020110893409242325,-0.1813015522832411,0.10920935502817769
2008-07-30,0.019524160554003474,-0.17935675806776166,0.10503412410502759
2008-07-31,0.03154195432025611,-0.1670898581579532,0.11186083278919345
2008-08-01,0.03477309301194764,-0.152542040859711,0.12257118216839795
2008-08-04,0.03184713431550733,-0.15667519715808187,0.11864617981153346
2008-08-05,0.02159038971350531,-0.14494266605608,0.12241456015274811
2008-08-06,0.021591489757535456,-0.1469582240761428,0.12298557790208028
2008-08-07,0.020934735736594635,-0.15110241537404637,0.11874968499516687
2008-08-08,-0.018321224115169187,-0.14543886543362486,0.11359026899467457
2008-08-11,-0.019098694287088856,-0.1434838097249746,0.11470969618890794
2008-08-12,-0.017432116232504843,-0.1362727205423161,0.11755172157389557
2008-08-13,-0.01597272090609896,-0.13614801208416405,0.116987509765004
2008-08-14,-0.0136918026523041,-0.13407215672139577,0.11952667699417831
2008-08-15,-0.01019412017550971,-0.1350135659233112,0.12034053404799414
2008-08-18,-0.010015135653521245,-0.13474272841711957,0.12004662683377759
2008-08-19,-0.01166198832333911,-0.13634727109475855,0.11906448063805998
2008-08-20,-0.010792517016925303,-0.13524217026477375,0.12013031372788079
2008-08-21,-0.0015876462486454934,-0.13677793183908624,0.11891575394074924
2008-08-22,-0.016804482352164474,-0.13927133393943913,0.11982705917069231
2008-08-25,-0.016097431761815776,-0.13699483611280935,0.12163506737546145
2008-08-26,-0.03929954662771169,-0.1370953526250398,0.11506614759185115
2008-08-27,-0.04237508899927438,-0.13764971043130655,0.11496934608098826
2008-08-28,-0.039386688766813144,-0.137384925433742,0.11634029901381061
2008-08-29,-0.040558138551921114,-0.13532995298000605,0.11724320788883898
2008-09-01,-0.04865880368804065,-0.13222328435250089,0.11496406047875916
2008-09-02,-0.06421800131074878,-0.133528160331016,0.11231882684120903
2008-09-03,-0.06329937120044932,-0.13144417665193636,0.11402298645020262
2008-09-04,-0.07556148436159062,-0.1462765767314725,0.09781850949679188
2008-09-05,-0.0818760387665666,-0.15134902783149942,0.09279507636314183
2008-09-08,-0.07697694866892897,-0.1642711338439558,0.08553205720265727
2008-09-09,-0.062185588185891025,-0.15985805916587123,0.09237657964433443
2008-09-10,-0.06428689804382147,-0.16758297324145857,0.08632640100946205
2008-09-11,-0.06766189784765929,-0.17283558934510063,0.08032823511604938
2008-09-12,-0.1234419414358768,-0.1911084446277957,0.05159567320854032
2008-09-15,-0.11683449564243512,-0.18933353116990714,0.055069989277641625
2008-09-16,-0.11774820449541835,-0.2011137379848744,0.04732522370862643
2008-09-17,-0.08951364862429939,-0.1328947193797837,0.11234742507316231
2008-09-18,-0.09399442204468869,-0.1291159738333368,0.1150020097600271
2008-09-19,-0.12453469261658454,-0.14736032105028454,0.09171033206359208
2008-09-22,-0.08791796832883642,-0.12633169515581139,0.11773946251367848
2008-09-23,-0.09411968567445586,-0.13227154410021222,0.11258195450305176
2008-09-24,-0.09250729777135056,-0.13272278133471987,0.11166785023575075
2008-09-25,-0.09230201122386347,-0.1253973865245551,0.11786375289088839
2008-09-26,-0.09238104286832195,-0.12717324131546434,0.11696255885723587
2008-09-29,-0.13731033041101198,-0.16074654324378307,0.07951957374542928
2008-09-30,-0.056198463092232954,-0.10355098146360946,0.1434817817770876
2008-10-01,-0.05742419263357574,-0.10472945816415702,0.1425452347839479
2008-10-02,-0.06748332280762313,-0.12635653408740524,0.1200198823889232
2008-10-03,-0.0670210903227113,-0.12757405680776793,0.11903609311385638
2008-10-06,-0.13846491885584486,-0.17898799079095676,0.05685626711818662
2008-10-07,-0.12384442988148395,-0.16717152338811309,0.06521411595153251
2008-10-08,-0.1245349024136591,-0.16530653398679107,0.06747173588286724
2008-10-09,-0.11457082709492404,-0.15984255758655103,0.07167748986124473
2008-10-10,-0.15125424145634522,-0.16973271159417488,0.052410306044763884
2008-10-13,-0.20529169945730977,-0.18038527735725518,0.029368117278105375
2008-10-14,-0.20159545952263255,-0.18243280478729898,0.027446685008474372
2008-10-15,-0.22714981101073964,-0.21822463851395313,-0.011371599241478543
2008-10-16,-0.21515070407346285,-0.2067842984839077,-8.402008349560924e-05
