,DXY,DX1_raw,DX1_adj
2007-01-01,,,
2007-01-02,-0.004553087185104943,-0.005528860237789424,-0.005528860237789424
2007-01-03,0.007775623840313273,0.008520903640419242,0.008520903640419242
2007-01-04,0.004992284230372235,0.004887653528193425,0.004887653528193425
2007-01-05,0.0035507197915753963,0.003679747757105112,0.003679747757105112
2007-01-08,-0.0008273743158584423,-0.00035551342437578626,-0.00035551342437578626
2007-01-09,0.002126152466429332,0.0017763045703205194,0.0017763045703205194
2007-01-10,0.0037687007272326767,0.003896798932379042,0.003896798932379042
2007-01-11,0.0024655134297413284,0.00282452818123069,0.00282452818123069
2007-01-12,-0.0030534374868897984,-0.003178155815021455,-0.003178155815021455
2007-01-15,-0.0009413980455192927,-0.0009436188480318464,-0.0009436188480318464
2007-01-16,0.0014117649403626586,0.0012972464818226115,0.0012972464818226115
2007-01-17,-0.0014117649403626586,-0.001061258280136812,-0.001061258280136812
2007-01-18,-0.00035325287385301607,-0.0003540031897255602,-0.0003540031897255602
2007-01-19,-0.0005890322370927237,-0.000590283943708414,-0.000590283943708414
2007-01-22,0.002118894259512949,0.0018876834298175993,0.0018876834298175993
2007-01-23,-0.004360386379506309,-0.004252309738530968,-0.004252309738530968
2007-01-24,0.003066040137731818,0.0030729252404615437,0.0030729252404615437
2007-01-25,0.00211714969695187,0.00247510291952846,0.00247510291952846
2007-01-26,0.0014089470453368946,0.0018816893709283633,0.0018816893709283633
2007-01-29,-0.0016439646727404167,-0.001999412603744588,-0.001999412603744588
2007-01-30,-0.0011759173509311438,-0.0009422851109457397,-0.0009422851109457397
2007-01-31,-0.004599335898356927,-0.005080051092770432,-0.005080051092770432
2007-02-01,0.00047270149781120097,0.0003552608243886368,0.0003552608243886368
2007-02-02,0.003773589383639475,0.003899561810114527,0.003899561810114527
2007-02-05,0.0014114328384078334,0.0015320255191433318,0.0015320255191433318
2007-02-06,-0.0036502837117220466,-0.003302668725066127,-0.003302668725066127
2007-02-07,-0.0007080481768548808,-0.0003545051735800442,-0.0003545051735800442
2007-02-08,-0.00023612750995205545,-0.0008276677977647751,-0.0008276677977647751
2007-02-09,0.0022409633722197952,0.0024809511219157088,0.0024809511219157088
2007-02-12,0.0028235312876070395,0.0029455102297566427,0.0029455102297566427
2007-02-13,-0.005064494659826835,-0.004835200174393428,-0.004835200174393428
2007-02-14,-0.0060401675910828345,-0.006285226738952154,-0.006285226738952154
2007-02-15,-0.0015455034878000262,-0.0017860336949926392,-0.0017860336949926392
2007-02-16,0.00011896972234648473,0.0009529482555574731,0.0009529482555574731
2007-02-19,-0.000475963835735449,0.0007141157170886814,0.0007141157170886814
