extra_days_delay,gross_sharpe,net_sharpe
0,0.6284423467928715,0.46592326747832413
1,0.564614063592635,0.41231210446536215
2,0.5275391144224448,0.37632197903181236
3,0.5253573350088755,0.3665811927515007
5,0.5085257529729811,0.36384748671899386
