,corr,beta,book_ret_%yr,TLT_ret_%yr,n
calm  (VIX < p20),-0.12950874576054447,-0.11724470716795765,17.908815140403245,-2.11801566567399,1001.0
normal,-0.1795670157277397,-0.14126525162831463,8.900937912758563,0.05291830114020653,2994.0
stress (VIX > p80),-0.37367927670803136,-0.24478755657523546,-18.459935861267056,15.457275809053902,999.0
