,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,skew,hit_rate
G10_gross,0.01926326219836568,0.11543232334281685,0.16687927298454053,0.2224685935829694,-0.36533683919032567,0.03462217573897711,-0.9537969963085206,0.5310372446936323
G10_net,0.0137556003794705,0.11546434169171305,0.11913288707086396,0.1585290437047843,-0.3823243407735155,0.018526481137485996,-0.9524992463416856,0.5290348418101722
EM_gross,0.06689999839815536,0.11048577733825218,0.6055077857970897,0.8398038140770943,-0.3562945845198806,0.17587639239681047,-0.4378374850266518,0.5368926214757048
EM_net,0.041572166877946896,0.11061502209362535,0.3758274969448536,0.5165247515293184,-0.4047031828016301,0.08914329367571847,-0.4305049237819795,0.5288942211557689
ALL_gross,0.07029004560222012,0.11184804136915846,0.6284423467928715,0.8607033865306162,-0.2678294999211406,0.24680890208054784,-0.65215157306325,0.5440911817636472
ALL_net,0.05214343433645578,0.11191420986263928,0.46592326747832413,0.6341168503826068,-0.29318494205516343,0.1600595389477542,-0.6480046211041329,0.5382923415316937
