book,vs,beta,t_beta,r2,n
G10_net,DXY spot,-0.008969302617798006,-0.2755661483467556,3.316025320754257e-05,4994
G10_net,DX1 raw,-0.00998595967796898,-0.30925701355157875,4.253656969710473e-05,4994
G10_net,DX1 roll-adj,-0.012848428912439442,-0.39650587130858117,7.00979909060706e-05,4994
EM_net,DXY spot,-0.09412064249716182,-2.8709491928907016,0.003973501857543527,4994
EM_net,DX1 raw,-0.09468621784241991,-2.9298181928681397,0.0041615925419420385,4994
EM_net,DX1 roll-adj,-0.09400903368189917,-2.9008443299128257,0.0040836439193691065,4994
ALL_net,DXY spot,0.2991112313954113,8.724759996995092,0.039200729099306164,4994
ALL_net,DX1 raw,0.2887994202692614,8.47630545808319,0.03781844789041655,4994
ALL_net,DX1 roll-adj,0.2920239627838036,8.571639661689183,0.038492021342007354,4994
