period,beta,t,r2,roll_yield_%,SR_unhedged,SR_hedged_net,d_sharpe,d_maxdd
2007-2011,-0.07085634458953596,-1.4765433735730678,0.0032941988936751043,-1.8689376267282474,0.21344827250317158,0.2056876562312858,-0.00776061627188579,-0.0005391288574999598
2012-2016,0.5787110899787723,8.790357473036277,0.14080242921753217,-0.8745671850679272,0.3797662323349995,0.1856049923382535,-0.194161239996746,0.014602567573722136
2017-2021,0.6373022416725563,8.221974056296716,0.10665965845815806,1.1538755905607827,-0.29627741049883677,-0.29651481148045966,-0.0002374009816228928,0.017520801407234
2022-2026,0.38994186567232314,6.009586309447166,0.0711026623056984,1.400420278813157,1.7747669313687233,1.7385635537314148,-0.03620337763730852,0.007893523319022266
