model,gate,net_sharpe,max_dd,ann_vol,turnover
MS-book,linear floor 0.00,0.302178236873322,-0.3540615436016167,0.10186745658276897,0.7488291903296173
MS-book,linear floor 0.25,0.350505638084288,-0.3195403013501287,0.10397976430661074,0.7120366089537592
MS-book,linear floor 0.50,0.3945439864908742,-0.30219372391330823,0.10637133508715804,0.6828751390986098
MS-book,power 2 floor 0.00,0.40488389102836025,-0.298836286776604,0.10759205896254143,0.6977847682909643
MS-book,power 3 floor 0.00,0.44130609349676064,-0.29095316367144686,0.10984803911620297,0.6802050359488544
MS-book,binary 0.50 -> 0.0,0.33776435213693895,-0.3330340604779446,0.10917226835342934,0.8319202770786324
MS-book,binary 0.50 -> 0.5,0.40841196805588204,-0.3075990054914636,0.10981791523438625,0.7385389065446739
MS-book,binary 0.70 -> 0.0,0.46592326747832263,-0.29318494205516377,0.11191420986263899,0.6754702284294801
MS-book,binary 0.70 -> 0.5,0.46592326747832263,-0.29318494205516377,0.11191420986263899,0.6754702284294801
MS-book,binary 0.90 -> 0.5,0.46592326747832263,-0.29318494205516377,0.11191420986263899,0.6754702284294801
MS-equity,linear floor 0.00,0.2695054132768692,-0.2496611829507107,0.09022595623331336,0.6042371300874452
MS-equity,linear floor 0.25,0.3359305921569849,-0.2420279265413542,0.093745362683336,0.6113002512811638
MS-equity,linear floor 0.50,0.3904408329516016,-0.24067715817908697,0.0986639817894748,0.6253271824408342
MS-equity,power 2 floor 0.00,0.3062868619149798,-0.2556740736118027,0.09742831593286842,0.66645253648909
MS-equity,power 3 floor 0.00,0.3247221063953242,-0.26871063479918356,0.10017024863203795,0.6916160160341182
MS-equity,binary 0.50 -> 0.0,0.30660518832451855,-0.23808030783444445,0.09713593587576058,0.667403852486537
MS-equity,binary 0.50 -> 0.5,0.4069396799736488,-0.23808030783444445,0.10102665980205958,0.6649229926739034
MS-equity,binary 0.70 -> 0.0,0.25438034511007646,-0.3134833907431662,0.10146980365569355,0.7076717220958746
MS-equity,binary 0.70 -> 0.5,0.37534528849888443,-0.274514096482086,0.10416311546702929,0.6874878007820894
MS-equity,binary 0.90 -> 0.5,0.4175345048900683,-0.265648897922963,0.1071531528227727,0.7086464744666758
MS-fxvol,linear floor 0.00,0.46292724240494953,-0.29181296773737897,0.11138706450436629,0.6826132316427378
MS-fxvol,linear floor 0.25,0.4637841130238329,-0.2921225952547487,0.111502480482101,0.6805914028026312
MS-fxvol,linear floor 0.50,0.46457266901856076,-0.2924473662876077,0.11162882245975958,0.6786948578657732
MS-fxvol,power 2 floor 0.00,0.4626797353881859,-0.2980850891119372,0.11181816863809174,0.6820997679630901
MS-fxvol,power 3 floor 0.00,0.4627576042245804,-0.2984095236485145,0.11184636094420729,0.6820863385933394
MS-fxvol,binary 0.50 -> 0.0,0.46273793835589744,-0.29848623149229625,0.11184883301709667,0.6821574854992766
MS-fxvol,binary 0.50 -> 0.5,0.46442104214049207,-0.2957906739978955,0.11186310900054408,0.6787256556394005
MS-fxvol,binary 0.70 -> 0.0,0.46273793835589744,-0.29848623149229625,0.11184883301709667,0.6821574854992766
MS-fxvol,binary 0.70 -> 0.5,0.46442104214049207,-0.2957906739978955,0.11186310900054408,0.6787256556394005
MS-fxvol,binary 0.90 -> 0.5,0.46442104214049207,-0.2957906739978955,0.11186310900054408,0.6787256556394005
Vol-rank,linear floor 0.00,0.31149102712698595,-0.2838243279639694,0.08261008393047894,0.5521582065736065
Vol-rank,linear floor 0.25,0.36774927446241523,-0.28543920258107014,0.08839509099403,0.572862280179379
Vol-rank,linear floor 0.50,0.4108547751283498,-0.28739112159671665,0.09535892272198412,0.5997209145109633
Vol-rank,power 2 floor 0.00,0.3330194694427848,-0.30858245976443055,0.09530908293746639,0.6211356542888421
Vol-rank,power 3 floor 0.00,0.3611151560362473,-0.3084071423842135,0.10082630817657577,0.6442604503580773
Vol-rank,binary 0.50 -> 0.0,0.17396830645686262,-0.4418445473734365,0.09631484829030208,0.6788403887101936
Vol-rank,binary 0.50 -> 0.5,0.34641039145863994,-0.33309835894407713,0.10040914237731897,0.659976650251484
Vol-rank,binary 0.70 -> 0.0,0.27588662490147964,-0.30854515528459103,0.10555970879018248,0.710229400727963
Vol-rank,binary 0.70 -> 0.5,0.37993716246239523,-0.29579067399789516,0.1071802824112628,0.6875087927319784
Vol-rank,binary 0.90 -> 0.5,0.46293300199911835,-0.2957906739978987,0.1101148832993934,0.6731098003257144
Logit,linear floor 0.00,0.38726974270787873,-0.23587820690858097,0.08070376410755285,0.4875643602943223
Logit,linear floor 0.25,0.4180307459894981,-0.23587820690858097,0.08752140616471421,0.5276855668045286
Logit,linear floor 0.50,0.4398262133412759,-0.23587820690858097,0.095102148977647,0.5731201395435784
Logit,power 2 floor 0.00,0.435540922522316,-0.24147482766078354,0.09604187044761205,0.5899891384957877
Logit,power 3 floor 0.00,0.4502069947240925,-0.267719760342212,0.10377528534133038,0.6335288854591896
Logit,binary 0.50 -> 0.0,0.42392198029271505,-0.31137115219912037,0.09908825634539224,0.680429484365416
Logit,binary 0.50 -> 0.5,0.462222414332705,-0.2573113342796446,0.10243036732946284,0.6600274703593906
Logit,binary 0.70 -> 0.0,0.44225868284779185,-0.29318494205516343,0.11168401908758081,0.6880544834619485
Logit,binary 0.70 -> 0.5,0.45441420636573715,-0.29318494205516477,0.11174061532042662,0.6810821071630973
Logit,binary 0.90 -> 0.5,0.46592326747832263,-0.29318494205516377,0.11191420986263899,0.6754702284294801
