,MS-book,MS-equity,MS-fxvol,Vol-rank,Logit
MS-book,1.0,0.21430789401312178,-0.06561731817523402,0.03944694175168675,-0.22440881619981753
MS-equity,0.21430789401312178,1.0,0.15904109776397948,0.46177683679674214,-0.5135459312315859
MS-fxvol,-0.06561731817523402,0.15904109776397948,1.0,0.17434644473101416,-0.1061093993317622
Vol-rank,0.03944694175168675,0.46177683679674214,0.17434644473101416,1.0,-0.42437438480679596
Logit,-0.22440881619981753,-0.5135459312315859,-0.1061093993317622,-0.42437438480679596,1.0
