,sharpe,sharpe_delta,ann_return,ann_vol,max_drawdown,skew,active_return,tracking_error,beta_to_baseline,corr_to_baseline,info_ratio,active_t
baseline,0.46592326747832263,0.0,0.05214343433645548,0.11191420986263899,-0.29318494205516377,-0.6480046211041316,0.0,0.0,1.0,0.9999999999999999,,
MS-book,0.302178236873322,-0.16374503060500062,0.030782128424950806,0.10186745658276897,-0.3540615436016167,-0.7948339933284365,-0.02136130591150466,0.02326436439210209,0.8926512049366423,0.9806895905194832,-0.9181985611761012,-4.04917429084825
MS-equity,0.2695054132768692,-0.1964178542014534,0.024316383622959833,0.09022595623331336,-0.2496611829507107,-0.8359233113599523,-0.027827050713495644,0.04890077221929899,0.7295223107574046,0.9048827675980542,-0.5690513554408355,-2.434903489932337
MS-fxvol,0.46292724240494953,-0.0029960250733730986,0.05156410661058852,0.11138706450436629,-0.29181296773737897,-0.6522004894350685,-0.00057932772586696,0.00444351778159429,0.994512599552463,0.9992191846746268,-0.13037592158776123,-0.671991780599157
Vol-rank,0.31149102712698595,-0.15443224035133668,0.025732299894551405,0.08261008393047894,-0.2838243279639694,-0.7402024192280707,-0.026411134441904065,0.04818913522836222,0.6797328769678477,0.9208532932557453,-0.5480723884490776,-2.4729055479816386
Logit,0.38726974270787873,-0.0786535247704439,0.03125412596148933,0.08070376410755285,-0.23587820690858097,-0.816094908454765,-0.02088930837496615,0.04357597759484681,0.6842039499972675,0.9488051182692548,-0.4793767008324437,-2.1079819528373887
VIX-rule (incumbent),0.46527268926193105,-0.0006505782163915841,0.04910222758219859,0.1055343000254113,-0.24502975265410432,-0.7314142927996268,-0.0030412067542568894,0.02153121443457373,0.9261107360763662,0.9820973015250695,-0.1412464105774486,-0.6288588701431389
