,gross_sharpe,net_sharpe,ann_return,ann_vol,max_dd,calmar,skew,cvar_95,turnover,cost_drag,avg notional,dd at equal vol
baseline,0.6284423467928696,0.46592326747832263,0.05214343433645548,0.11191420986263899,-0.29318494205516377,0.16005953894775404,-0.6480046211041316,0.017492531854034543,0.6754702284294801,0.018146611265764247,3.2317907521083393,-0.29318494205516377
static option trim,0.62534862801156,0.4559245699020338,0.04855285682087701,0.10649317897324495,-0.2762329318436759,0.15855025727798241,-0.604734316241215,0.016513176455506717,0.6928220385529221,0.018001132313821114,3.131348487386841,-0.28853957719873247
trim timed by MS-book,0.5367281657901528,0.3679775649218037,0.04056835985225137,0.11024682947959684,-0.3499433404434339,0.10022029048491628,-0.6949846037375715,0.01733562422875668,0.7073882701173569,0.01857168509530043,3.158771295280367,-0.3544473479300617
trim timed by MS-equity,0.5946465440134199,0.426340712176042,0.04651743022008741,0.10910858121586033,-0.26633681950408017,0.15535967701458403,-0.6710231329070042,0.017025974773507514,0.7056616627072881,0.0183079681685704,3.127552443461731,-0.2734362285506622
trim timed by MS-fxvol,0.6276921757497635,0.4597422655423299,0.05093802492802219,0.11079691545856397,-0.2786371625663825,0.16436172170013652,-0.6280950360460572,0.01718972069636133,0.6968768230882944,0.01854967680092029,3.19508187594347,-0.2811554620590977
trim timed by Vol-rank,0.5771037514655041,0.4096630805574813,0.04431907755016269,0.10818421198671849,-0.3142620226563564,0.12472575004618566,-0.6619173071485004,0.01685972767380563,0.703788359614838,0.018081938606638048,3.1201913100547483,-0.32470394738445785
trim timed by Logit,0.6063280299704956,0.4390224583399685,0.04775478831969511,0.10877527427700508,-0.282415133659621,0.15121661298732791,-0.6480669354545942,0.016983286319598872,0.6899883718007703,0.018161124945416555,3.158128686801077,-0.28952954505519013
