model,stressed rule,stressed_share,net_sharpe,max_dd,ann_vol,avg_gross_notional
MS-book,low_mean,0.16880264542109452,0.302178236873322,-0.3540615436016167,0.10186745658276897,2.818290400204865
MS-book,high_variance,0.8311973545789054,0.2961793028267548,-0.23587820690858097,0.0647281551538337,1.212237887196789
MS-fxvol,high_mean,0.00926957661531611,0.46292724240494953,-0.29181296773737897,0.11138706450436629,3.21555110992558
MS-fxvol,high_variance,0.5498056760794271,0.6047980282488946,-0.2215622188118398,0.08599193819647366,1.9254176173186914
