,mean,volatility,sharpe,max_drawdown
baseline,0.05214343433645548,0.11191420986263899,0.46592326747832263,-0.29318494205516377
MS-book,0.03381803861736322,0.11191420986263899,0.30217823687332224,-0.38522420026148285
MS-equity,0.030161485380584805,0.11191420986263899,0.26950541327686933,-0.3091487912673986
MS-fxvol,0.051808136557640265,0.11191420986263899,0.4629272424049495,-0.2930164492647155
Vol-rank,0.03486027218021849,0.11191420986263899,0.31149102712698606,-0.3663646072006953
Logit,0.04334098725885975,0.11191420986263899,0.3872697427078788,-0.31850434368054614
VIX-rule (incumbent),0.05207062538941416,0.11191420986263899,0.465272689261931,-0.25820019925606064
