,gross_sharpe,net_sharpe,ann_return,ann_vol,max_dd,calmar,skew,cvar_95,turnover,cost_drag,avg_gross_notional
baseline,0.6284423467928696,0.46592326747832263,0.05214343433645548,0.11191420986263899,-0.29318494205516377,0.16005953894775404,-0.6480046211041316,0.017492531854034543,0.6754702284294801,0.018146611265764247,3.2317907521083393
MS-book,0.4842563580702905,0.302178236873322,0.030782128424950806,0.10186745658276897,-0.3540615436016167,0.0731661343966883,-0.7948339933284365,0.016277755924326648,0.7488291903296173,0.018510216364542496,2.818290400204865
MS-equity,0.43252128846143534,0.2695054132768692,0.024316383622959833,0.09022595623331336,-0.2496611829507107,0.08186656204486463,-0.8359233113599523,0.014543484315349443,0.6042371300874452,0.014683318144880006,2.329922127707375
MS-fxvol,0.6278842539235145,0.46292724240494953,0.05156410661058852,0.11138706450436629,-0.29181296773737897,0.15894606230496,-0.6522004894350685,0.01740850006257517,0.6826132316427378,0.018327326831615226,3.21555110992558
Vol-rank,0.4791251983027981,0.31149102712698595,0.025732299894551405,0.08261008393047894,-0.2838243279639694,0.07949152890478997,-0.7402024192280707,0.013323220458543733,0.5521582065736065,0.013815307063049448,2.1695263843313035
Logit,0.5481736297421014,0.38726974270787873,0.03125412596148933,0.08070376410755285,-0.23587820690858097,0.1203287016108634,-0.816094908454765,0.01276761644422971,0.4875643602943223,0.012987753838394222,2.138327222636955
VIX-rule (incumbent),0.635261773616654,0.46527268926193105,0.04910222758219859,0.1055343000254113,-0.24502975265410432,0.18150234673973195,-0.7314142927996268,0.016674893447003115,0.7056276062931802,0.017883830170162467,2.986015716382544
