model,min_periods,armed_from,net_sharpe,max_dd,avg_gross_notional
MS-book,36,2010-05-31,0.3286484122486132,-0.3498064258581598,2.726131568080299
Logit,36,2010-07-31,0.46247342036141753,-0.18017174396874036,1.9165585656687614
MS-book,60,2012-05-31,0.302178236873322,-0.3540615436016167,2.818290400204865
Logit,60,2012-07-31,0.38726974270787873,-0.23587820690858097,2.138327222636955
MS-book,84,2014-05-31,0.2852719441774716,-0.3791425488038487,2.792719175571529
Logit,84,2014-07-31,0.3803032229765719,-0.23808030783444445,2.3903692934998624
