,n,r2,alpha_ann,alpha_t,beta_dIV,t_dIV,beta_dRR,t_dRR,beta_dEMBI,t_dEMBI,beta_DOL,t_DOL,beta_HML_FX,t_HML_FX
G10_gross,4994.0,0.3494262388729409,-0.002132891287580229,-0.10687578543659351,-0.003038240518920605,-5.975736756866636,0.005605306371995011,2.8892742425600493,-0.011118760548939207,-4.067901960068011,0.3329897193469487,10.113428232377057,0.619192006272904,15.036592465433747
ALL_gross,4994.0,0.6918605350273457,0.021527641387760258,1.5558605111100006,-0.0005926217546742081,-1.1752201463056595,-0.002761212508625894,-2.067261430770137,-0.005176922113621793,-3.90658928566657,-0.13943484886467972,-5.2323551116524385,1.391578720928532,42.52637906751997
