date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,BRL,CLP,CNH,COP,HUF,IDR,ILS,INR,KRW,MXN,MYR,PEN,PHP,PLN,SGD,THB,TRY,ZAR
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,0.0,0.0,-0.12837706451978317,0.0,0.0,-0.09072804067120971,0.0,0.0,-0.09015668574818639,0.22483783287933384,0.0,0.0,0.0,0.0,0.0,0.0,0.4000118435651196,0.0,0.0,-0.400004747692175,0.0,0.0,0.0,-0.29073346136864575,0.10769517280225327,0.16145515194454793,0.1059999988087454
2007-04-30,0.0,0.0,-0.1382190747810453,0.0,0.0,-0.08540966216905649,0.0,0.0,-0.10587102223787219,0.1928343033819557,0.0,0.0,0.0,0.0,0.29414587611565685,0.0,0.2585001562307797,0.0,0.0,-0.36573885008181856,0.0,0.0,0.0,-0.3047613907302074,0.10927559207363216,0.14524407219797567,0.0
2007-05-31,0.0,0.0,-0.10561749725616694,0.0,0.0,-0.10688080906076605,0.0,0.0,-0.10552999415437815,0.20667704704203185,0.0,0.0,0.0,0.0,0.23825466818351201,0.0,0.22355985568887954,0.0,0.0,0.0,-0.40001011358611466,0.0,0.0,-0.2819615859425742,0.1820935419036915,0.14941488718188503,0.0
2007-06-30,0.0,0.0,-0.1099013879032301,0.0,0.0,-0.11322923281806402,0.0,0.0,-0.1034412866744139,0.20074715518029113,0.0,0.0,0.0,0.0,0.267471888678385,0.0,0.0,0.0,0.0,0.0,-0.40000795502010755,0.0,0.0,-0.27342013758418443,0.2393500407616347,0.1610312644603638,0.1313996509193253
2007-07-31,0.0,0.0,-0.10568257360607287,0.0,0.0,-0.11967518565599208,0.0,0.0,-0.10005055591556757,0.19223161273920653,0.0,0.0,0.0,0.0,0.0,0.0,0.27222506461205853,0.0,0.0,0.0,-0.40000943518064624,0.0,0.0,-0.2745822496417212,0.2560173291767957,0.15026932196964002,0.1292566715022993
2007-08-31,0.0,0.0,-0.13101389735694913,0.0,0.0,-0.14852732986474512,0.0,0.0,-0.13760216429730188,0.17241170548639112,0.0,0.0,0.0,0.0,0.0,0.0,0.2945297454063933,0.0,0.0,-0.26094617188156977,0.0,0.0,0.0,-0.32191043659943397,0.2684620163255325,0.1370590845926038,0.1275374481890791
2007-09-30,0.0,0.0,-0.1327276545229295,0.0,0.0,-0.1346002008334922,0.0,0.0,0.0,0.15095352959840175,0.0,0.0,0.1768705877031251,0.0,0.0,0.0,0.38340628758933676,-0.22634877435658968,0.0,-0.2080780750123937,0.0,0.0,0.0,-0.2982452952745948,0.0,0.1438407563127564,0.14492883879638008
2007-10-31,0.0,0.0,-0.1406949410503928,0.0,0.0,-0.1389513024466576,0.0,0.0,0.0,0.13345087559726604,0.0,0.0,0.0,0.0,0.2813787122358093,0.0,-0.18546762220858032,0.0,0.0,-0.21832320169761682,0.0,0.0,0.0,-0.3165629325967526,0.31792018873126754,0.12261057160563768,0.14463965183001945
2007-11-30,0.0,0.0,-0.094534181983779,0.0,0.0,-0.0992384743499525,0.0,0.194316552837817,0.0,0.18967497265224686,0.0,0.0,0.22086782233368907,0.0,0.0,0.0,0.0,-0.18208607789570272,0.0,0.0,-0.39762768381964103,0.0,0.0,-0.22651358195092464,0.0,0.1958936811305394,0.19924697104570777
2007-12-31,0.0,0.0,-0.13369129301918267,0.0,0.0,-0.13423703877575827,0.0,0.14379412952613757,0.0,0.0,0.0,0.0,0.183839589014531,0.0,0.0,0.0,0.4000018062156693,-0.233742784023053,0.0,-0.19924530634045412,0.0,0.0,0.0,-0.2990835778415518,0.0,0.1409379659708656,0.1314265092727966
2008-01-31,0.0,0.0,-0.09808670653692608,0.0,0.0,-0.09673564110407697,0.0,0.0,0.0,0.14046706487475522,0.0,0.0,0.16241477270982876,0.0,0.0,0.0,0.0,-0.17877510510698166,0.0,0.0,-0.40000000935820124,0.0,0.0,-0.22640253789381412,0.4000009643769494,0.1448289714986563,0.15228822653981036
