,alpha_ann,alpha_t,beta,t_beta,r2,n
SRP~CARRY,-0.004776841179759395,-0.3811123475314291,0.28618254904941126,10.157197663076781,0.16334587352895868,4956.0
CARRY~SRP,0.037649469426137415,2.1903815891788754,0.5707751016668626,13.192572304989483,0.16334587352895913,4956.0
