variant,input,gross_sharpe,net_sharpe,ann_return_net,ann_vol_net,max_drawdown,CVaR_99,skew,turnover,cost_drag,n_days,d1_committed_net_sharpe,bar_baseline,bar_rr,beats_both_bars,alpha_vs_carry_ann,t_alpha_vs_carry
U21_carry (anchor),carry,0.6194384975279325,0.4962381157225131,0.05562984043711393,0.1121031187943271,-0.25756843076899993,0.030107543302018182,-0.7344413973098778,0.46799014687377627,0.013806377374596316,5001,,0.4659,0.4559,True,,
U21_iskew_bkm,model-free BKM,0.21258060286401048,0.03394588238703378,0.004013210332245076,0.11822377413815562,-0.5388212851687426,0.033643540860549805,-0.741655064652344,0.890319029681437,0.021062214515371266,5001,0.1316,0.4659,0.4559,False,-0.03997585748586646,-2.3615727884248146
U21_iskew_proxy,25d slope proxy,0.3229361985727768,0.13161337154275002,0.01563590243975395,0.11880177717865978,-0.5129049774911492,0.034513951738138295,-1.0680025690035178,1.0494131503046604,0.0226654736709478,5001,0.1316,0.4659,0.4559,False,-0.027794733943189844,-1.585902684744154
U21_srp_bkm,model-free BKM,0.18278798661509651,-0.06105299866541116,-0.006821309203121959,0.11172766861960032,-0.4484654754491014,0.02871993019705288,-0.5067125966525402,1.2176180202508677,0.027170472478626955,4912,-0.0906,0.4659,0.4559,False,-0.030609814463177114,-1.393239439546962
U21_srp_proxy,25d slope proxy,0.1560477476537037,-0.09058604449656862,-0.010028256290885596,0.11070420776862008,-0.49021150781042333,0.026943511735308113,-0.48298240264668785,1.2681823133369718,0.027264101989886328,4912,-0.0906,0.4659,0.4559,False,-0.03344942349673411,-1.5426971414255841
U21_clean_bkm,model-free BKM,0.1667870074510714,-0.06838703506535995,-0.007665833670697279,0.11209483878590096,-0.5085152782198223,0.02686299854505522,-0.4457180568677511,1.0855315873503522,0.026319207235813723,5001,-0.0309,0.4659,0.4559,False,-0.03162970115219905,-1.334943587595041
U21_clean_proxy,25d slope proxy,0.20543868768251047,-0.03086639241225307,-0.0035586094594389295,0.1152907476814901,-0.42381755499941753,0.02874669538219124,-0.48187216486840906,1.171009611959726,0.027188564623907112,5001,-0.0309,0.4659,0.4559,False,-0.02943720053828191,-1.1960739861717504
