date,G10_gross,G10_net,G10_hedged,ALL_gross,ALL_net,ALL_hedged,DBHVG10U,FXCTEM8
2007-01-01,,,,,,,,
2007-01-02,,,,,,,-0.0008742896953588541,0.005517609104681576
2007-01-03,,,,,,,0.005172156724043475,-0.004176973665539485
2007-01-04,,,,,,,-0.0006217359066233996,-0.009353343015480853
2007-01-05,,,,,,,-0.0049253505224937655,-0.007231588998608096
2007-01-08,,,,,,,0.0002499687552077745,0.0005498999561774909
2007-01-09,,,,,,,0.005545703841368876,-0.0038928915506843964
2007-01-10,,,,,,,0.0011178736724923866,-0.0014981199467518636
2007-01-11,,,,,,,0.008898285247019189,0.0021396178080568262
2007-01-12,,,,,,,-0.0038832606508139023,0.0026574330138124935
2007-01-15,,,,,,,0.0024673094184581856,0.0022557314918971727
2007-01-16,,,,,,,0.0003695719167415845,-0.002151844061255126
2007-01-17,,,,,,,-0.0004311805173218275,0.003598779726229573
2007-01-18,,,,,,,0.006387051130100296,0.00286641035105184
2007-01-19,,,,,,,0.00018363786664377102,0.0016679795376655093
2007-01-22,,,,,,,0.003726674441631772,-0.0008674809565887287
2007-01-23,,,,,,,-0.004155215266703038,0.00014501604063887896
2007-01-24,,,,,,,-0.004541556842519334,-0.00141791591073126
2007-01-25,,,,,,,-0.0003076071266061575,-0.0064747506001507915
2007-01-26,,,,,,,0.001659955500892707,-0.002602149483181826
2007-01-29,,,,,,,-0.00018430348692977105,0.00010326719745279433
2007-01-30,,,,,,,-0.00696695071177178,0.0016717232003005122
2007-01-31,,,,,,,-0.002477855446069377,0.006087852116893444
2007-02-01,,,,,,,-0.005036541036869124,0.004213813789517573
2007-02-02,,,,,,,0.0031741118916244204,-0.0015146336579050512
2007-02-05,,,,,,,0.0035356548323077774,0.0030912224041950154
2007-02-06,,,,,,,-0.002541927652837117,0.0016464939390141708
2007-02-07,,,,,,,0.0006205783989656766,0.0007295324240752521
2007-02-08,,,,,,,0.002602231951712497,0.0005633860979843419
2007-02-09,,,,,,,0.0011749792638395817,-0.002412294428795647
2007-02-12,,,,,,,0.0018524241172386269,-0.005318306570133657
2007-02-13,,,,,,,0.0016026632290664367,0.0037802165137961197
2007-02-14,,,,,,,-0.0011709242394140063,0.007018032006055996
2007-02-15,,,,,,,0.00024662433074063017,-0.0010624466752613415
2007-02-16,,,,,,,0.0002465635221762241,0.001739577971807904
2007-02-19,,,,,,,0.0025237771544297516,0.0022560726012006427
2007-02-20,,,,,,,0.0024560984961352617,-0.0005550089012134052
2007-02-21,,,,,,,0.008670751032036073,0.0015496145661790806
2007-02-22,,,,,,,0.0026108882738782313,-0.0002376517114042187
2007-02-23,,,,,,,-0.00364498307693939,-0.00011543822681492344
2007-02-26,,,,,,,0.0001217137294595716,-0.0005114516404409741
2007-02-27,,,,,,,-0.01384826052317134,-0.009246554704231968
2007-02-28,,,,,,,-0.0025329763643293646,-0.0003493327939887436
2007-03-01,,,,,,,-0.0038425829741619566,-0.0031559468700903537
2007-03-02,,,,,,,-0.006353973909558164,-0.002089972836820664
2007-03-05,,,,,,,-0.010364739918343524,-0.0073088139589971846
2007-03-06,,,,,,,0.0016403789167291905,0.005901513454719343
2007-03-07,,,,,,,0.0030213404994015036,0.0020481734052246736
2007-03-08,,,,,,,0.006452645724722039,0.0040291387589768135
