book,net_sharpe,ann_vol,max_drawdown,CVaR_99,skew,turnover,cost_drag,note,alpha_selection_ann,t_alpha_selection,gross_match_error
baseline,0.46592326747832447,0.1119142098626392,-0.29318494205516343,0.02919874578407466,-0.6480046211041329,0.6754702284294828,0.018146611265764313,"full risk, no filter",0.012536335332890104,0.9175534523522911,8.881784197001252e-16
gross-matched de-risk (control),0.40620480229416744,0.08488534242899758,-0.2248761486229779,0.02223861296865065,-0.634911364286697,0.5252215797570694,0.013708594488175851,"same daily gross as the filter, spread across every name",0.012536335332890104,0.9175534523522911,8.881784197001252e-16
bad-skew exclusion,0.43600266122718184,0.08952718493047161,-0.22030848032734018,0.020633152731046548,-0.3050862021750769,0.5901696073491446,0.012692523852094852,the filter itself,0.012536335332890104,0.9175534523522911,8.881784197001252e-16
