variant,owner,slot,bar,gross_sharpe,net_sharpe,d_net_sharpe_vs_bar,ann_return_net,ann_vol_net,max_drawdown,CVaR_99,skew,sortino,calmar,hit_rate,turnover,cost_drag,n_days,alpha_ann,t_alpha,beta_ref,windows_improved,windows_tested,windows_dd_better,windows_cvar_better,windows_won,external_coverage,reconstruction,window_start,window_end,cfg_universe,cfg_tenor,cfg_signal,cfg_n_buckets,cfg_weighting,cfg_max_leg_share,cfg_vol_window,cfg_rebal,cfg_vol_target,cfg_lev_cap,cfg_extra_lag,cfg_costs,cfg_cost_multiple,cfg_exposure,cfg_weight_overlay,cfg_external_legs
(bar) baseline,Cesare,-,baseline,0.6284423467928719,0.46592326747832447,0.0,0.05214343433645578,0.1119142098626392,-0.29318494205516343,0.02919874578407466,-0.6480046211041329,0.6341168503826068,0.1600595389477542,0.5382923415316937,0.6754702284294828,0.018146611265764313,5001,,,,,6,,,,,the shared base,2007-05-01,2026-06-30,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,
(bar) per-currency RR,Cesare,weight_overlay,baseline,0.625348628011562,0.45592456990203556,-0.009998697576288906,0.0485528568208773,0.10649317897324517,-0.27623293184367614,0.027175650186923056,-0.6047343162412168,0.6236569754794017,0.15855025727798389,0.5330933813237353,0.6928220385529249,0.018001132313821184,5001,-0.00026291016017577096,-0.05358908137146272,0.9361824283776398,6.0,6,4.0,4.0,gfc_2008|euro_2011|taper_2013|china_em_2015|covid_2020|rates_2022,,"rebuilt on the base from examples/03; reproduces the committed rrccy MaxDD to 7 digits, its net Sharpe to 8e-4",2007-05-01,2026-06-30,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,rr_trim_overlay,
Duration hedge (long TLT),Arjun,external_legs,baseline,0.6802357426899243,0.5144614943035014,0.048538226825176944,0.0563938212901412,0.10961718595964001,-0.2842355976576312,0.02824717887706258,-0.5975545396680221,0.7057988793847308,0.18173593917669517,0.5326934613077384,0.6754702284294828,0.018148693884446315,5001,0.007391363196556118,1.1592782766658,0.9397627662458227,4.0,6,3.0,3.0,euro_2011|taper_2013|china_em_2015|covid_2020,TLT:7,"re-priced, not rebuilt: TLT return from his committed duration_hedge_series.csv; hedge ratio re-estimated on THIS base's net book with his estimator (expanding 504d, lagged); cost_bps backed out of his own gross-vs-net series (0.678bp, reproduces his net to 1.1e-15)",2007-05-01,2026-06-30,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,TLT
VIX percentile gate (p80 / 756d),Dafu,exposure,baseline,0.635261773616656,0.46527268926193216,-0.0006505782163923057,0.04910222758219888,0.10553430002541166,-0.24502975265410487,0.028321020244471695,-0.7314142927996281,0.6311426281788249,0.18150234673973334,0.5376924615076984,0.7056276062931829,0.017883830170162533,5001,0.0008116332273142174,0.17618139640837704,0.9261107360763661,4.0,6,4.0,2.0,euro_2011|china_em_2015|covid_2020|rates_2022,,"exact: dafu/regime_lab.py defines it as one fx.exposure_scalar call on shared data/raw, so no file is needed; reproduces his committed headline to 5dp",2007-05-01,2026-06-30,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,True,,
Macro/regime probability gate,Vidhi,exposure,baseline,0.3100888949397717,0.09638395222036795,-0.3695393152579565,0.008441207920915053,0.08757897685722052,-0.3356362096914366,0.026191906839236022,-0.8859572974208614,0.12910262751975812,0.013718359493974552,0.34193161367726455,0.9408706070532394,0.018678825804231684,5001,-0.024227476805814243,-1.9626309938174176,0.6265157855912302,4.0,6,3.0,3.0,euro_2011|taper_2013|china_em_2015|rates_2022,,"re-priced, not rebuilt: the gate recovered as probability_scaled / static from her committed monthly tracks (173 months from 2012-02, values in [0,1]). Only the gate transfers — her book omits the carry accrual",2007-05-01,2026-06-30,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,True,,
Bad-skew exclusion (XS top quintile),Theo,weight_overlay,per-currency RR,0.5784728194881685,0.43600266122718184,-0.019921908674853717,0.03903409088186367,0.08952718493047161,-0.22030848032734018,0.020633152731046548,-0.3050862021750769,0.6156441997716351,0.16177770349646628,0.5168966206758648,0.5901696073491446,0.012692523852094852,5001,0.00790359870262292,0.6268064370790342,0.6411670541671387,6.0,6,6.0,6.0,gfc_2008|euro_2011|taper_2013|china_em_2015|covid_2020|rates_2022,,"re-priced, not rebuilt: his committed bad_skew25_1m panel with his cross-sectional p80 rule, applied as a post-sizing trim rather than a pre-sort exclusion. NOTE his signal is bit-identical to fx.vol_surface_panel('RR')",2007-05-01,2026-06-30,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,skew_exclusion_overlay,
(control) gross-matched de-risk,Cesare,weight_overlay,bad-skew exclusion,0.568073522790924,0.40620480229416744,-0.0297978589330144,0.03448083373904366,0.08488534242899758,-0.2248761486229779,0.02223861296865065,-0.634911364286697,0.5528951695581162,0.13941111524828625,0.5380923815236952,0.5252215797570694,0.013708594488175851,5001,0.0075139382556990465,0.5777734412318832,0.6908549648295825,3.0,6,1.0,3.0,china_em_2015|covid_2020|rates_2022,,"CONTROL, not a variant: identical daily gross to the bad-skew exclusion (max diff 8.9e-16) but spread across every name, so any difference is selection rather than de-risking",2007-05-01,2026-06-30,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,gross_matched_control(skew_exclusion_overlay),
