freq,period,carry_long,carry_short,spot_long,spot_short,total,gross,resid,universe,tenor,signal,n_buckets,weighting,max_leg_share,vol_window,rebal,vol_target,lev_cap,extra_lag,costs,cost_multiple,exposure,weight_overlay,external_legs,window_start,window_end,n_currencies
ME,2007-05-31,0.010549435315955863,0.005266382720823343,0.0482160255540555,0.017146347987152817,0.08117819157798753,0.08117819157798752,8.239936510889834e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2007-06-30,0.012108066091158224,0.004822857059287209,-0.006220129284918224,-0.0026092154927406823,0.008101578372786524,0.008101578372786522,2.8189256484623115e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2007-07-31,0.014508229125027096,0.004339825091747084,0.031880465126911346,-0.02368100869021418,0.027047510653471347,0.027047510653471343,4.228388472693467e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2007-08-31,0.009983084005427783,0.004599800365187812,-0.02299343008024962,0.008501946038393122,9.140032875909476e-05,9.14003287591017e-05,-8.348356728138384e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2007-09-30,0.006341164135644825,0.0031907810030049025,0.0726683665479464,-0.04010123921666691,0.042099072469929215,0.04209907246992921,4.336808689942018e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2007-10-31,0.005298874596721119,0.0022736033644661473,0.028738685830870747,-0.02391021871521652,0.012400945076841495,0.012400945076841495,5.421010862427522e-20,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2007-11-30,0.008620995998550027,0.0036439529621457587,-0.032792132619953514,-0.003904222170941213,-0.02443140583019894,-0.024431405830198948,4.9873299934333204e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2007-12-31,0.004462974931669803,0.0023090632433301174,0.004310917767736968,-0.0012224606719942674,0.009860495270742621,0.009860495270742618,3.903127820947816e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2008-01-31,0.005181447606623591,0.0028231224744134204,0.00968932277480495,-0.01931471830461365,-0.0016208254487716889,-0.0016208254487716904,4.607859233063394e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2008-02-29,0.006924842817888003,0.002092597734050447,0.01564297501571879,-0.018704108978704573,0.005956306588952666,0.005956306588952659,6.1257422745431e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2008-03-31,0.009620601326794032,0.0021091434614610937,-0.041187603263548686,-0.03345852589654183,-0.06291638437183539,-0.06291638437183539,-3.0357660829594124e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
