cost_vol_pts,variant,sharpe,ann_return,beats_both_bars
0.0,carry,0.4707705901599138,0.054242630730669275,True
0.0,short_vol,1.2718506438185115,0.1836368101967524,True
0.0,vrp_xs,1.6891491397088894,0.23386456479805506,True
0.0,carry+short_vol,0.9839656050920884,0.14129875124007668,True
0.1,carry,0.4707705901599138,0.054242630730669275,True
0.1,short_vol,1.022436899526811,0.14721805293973633,True
0.1,vrp_xs,1.0741413080029378,0.14961415245042803,True
0.1,carry+short_vol,0.8256001408104943,0.11794601809791999,True
0.25,carry,0.4707705901599138,0.054242630730669275,True
0.25,short_vol,0.6496484407367238,0.09337057001681108,True
0.25,vrp_xs,0.18802585687295098,0.026643533777631782,False
0.25,carry+short_vol,0.58452367824712,0.08311899147627189,True
0.5,carry,0.4707705901599138,0.054242630730669275,True
0.5,short_vol,0.04290705703390507,0.006180427828466216,False
0.5,vrp_xs,-1.1144867830777236,-0.16362262181471743,False
0.5,carry+short_vol,0.18769692422093287,0.026642091286989213,False
0.75,carry,0.4707705901599138,0.054242630730669275,True
0.75,short_vol,-0.5343480243294758,-0.07750856018818503,False
0.75,vrp_xs,-2.1935120321063724,-0.33287276073690353,False
0.75,carry+short_vol,-0.18897838020530117,-0.026829071185210523,False
1.0,carry,0.4707705901599138,0.054242630730669275,True
1.0,short_vol,-1.0759785207353338,-0.15768316943888627,False
1.0,vrp_xs,-3.0636829510870562,-0.4807482874243988,False
1.0,carry+short_vol,-0.5429034771207943,-0.07709087214578739,False
1.5,carry,0.4707705901599138,0.054242630730669275,True
1.5,short_vol,-2.044874210195778,-0.30786767125197034,False
1.5,vrp_xs,-4.232866519912698,-0.7165841797410073,False
1.5,carry+short_vol,-1.1856810870661048,-0.16903010458788123,False
2.0,carry,0.4707705901599138,0.054242630730669275,True
2.0,short_vol,-2.8628079360697747,-0.4450755682230254,False
2.0,vrp_xs,-4.873283365232927,-0.8869339724355554,False
2.0,carry+short_vol,-1.738974482349974,-0.25058147271374304,False
3.0,carry,0.4707705901599138,0.054242630730669275,True
3.0,short_vol,-4.100994074929056,-0.6833187768171908,False
3.0,vrp_xs,-5.488950273765129,-1.0991759783168888,False
3.0,carry+short_vol,-2.5831927185844035,-0.38429045113216065,False
