variant,n_months,ann_return,ann_vol,sharpe,max_drawdown,skew,hit_rate,CVaR_99,worst_month,cost_vol_pts,bar_baseline,bar_rr,beats_both_bars
carry,230,0.054242630730669275,0.11522094171652451,0.4707705901599138,-0.2518806712362681,-0.4879330994716893,0.5739130434782609,0.12578621050279232,-0.13976777909876859,0.0,0.4659,0.4559,True
short_vol,227,0.1836368101967524,0.14438551498894134,1.2718506438185115,-0.2305265632429836,-2.1288257527762493,0.7841409691629956,0.1986395205841645,-0.21760012858716116,0.0,0.4659,0.4559,True
vrp_xs,227,0.23386456479805506,0.13845110493817003,1.6891491397088894,-0.2338492733032289,1.6603355207318127,0.7312775330396476,0.0840560394867006,-0.08473780106624847,0.0,0.4659,0.4559,True
carry+short_vol,221,0.14129875124007668,0.143601311375973,0.9839656050920884,-0.1803276410465542,-0.24104244123733412,0.7420814479638009,0.14278386321880362,-0.14978848870079392,0.0,0.4659,0.4559,True
