currency,n_months,corr_level,corr_change,xs_rank_corr_mean
AUD,5064,0.8033202646701495,0.023826326611821297,0.8860717424804188
CAD,5064,0.8856439373745637,0.035850348061382424,0.8860717424804188
CHF,5065,0.9110882700057762,0.030149428516585995,0.8860717424804188
EUR,5061,0.8173435698001129,0.002070975807893478,0.8860717424804188
GBP,5063,0.7662557531080783,0.020243163533788227,0.8860717424804188
JPY,5065,0.8694192975493682,0.01419664085488757,0.8860717424804188
NOK,5010,0.8258975591274033,0.019778821530033814,0.8860717424804188
NZD,5056,0.7727196199675851,0.0065893468867972765,0.8860717424804188
SEK,5018,0.8449756087970807,0.031897575700437504,0.8860717424804188
BRL,5062,0.8722760374583071,-2.5332612175833552e-05,0.8860717424804188
CNH,3990,0.8534878290514422,0.05396369521790543,0.8860717424804188
HUF,5004,0.8586736607983362,-0.00901670941340555,0.8860717424804188
ILS,5060,0.9252226294115589,0.03193945914006939,0.8860717424804188
INR,5036,0.7294152999415409,0.010827113967475913,0.8860717424804188
KRW,5060,0.8806534386463859,0.00557455715592462,0.8860717424804188
MXN,5064,0.827708618598279,0.06003333799885581,0.8860717424804188
PLN,5061,0.8608428360935074,0.005329006886323167,0.8860717424804188
SGD,5054,0.8637726064266638,0.023251664175425645,0.8860717424804188
THB,4966,0.7995179752667461,0.014696254806323078,0.8860717424804188
TRY,5054,0.8820847412477318,0.006380692693701369,0.8860717424804188
ZAR,5062,0.8078536588921665,0.051254415859959324,0.8860717424804188
