,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,base,alpha_vs_carry_ann,t_alpha_vs_carry
G10_carry_gross,2007-05-01,2026-06-30,4994,0.01926326219836568,0.11543232334281685,5.2875481239367533e-05,-0.9537969963085206,9.993779887971456,0.16687927298454053,-0.36533683919032567,0.011314939140168317,0.020469275118948662,0.017882910679192433,0.031562103629509744,0.5310372446936323,0.04938777147430669,-0.08548785581062575,-0.02906221403091451,0.012648756250369875,0.2224685935829694,0.03462217573897711,0.26940271836027946,0.3818090178884037,,,,
G10_carry_net,2007-05-01,2026-06-30,4994,0.0137556003794705,0.11546434169171316,5.2904818263097966e-05,-0.9524992463416856,9.971004653038946,0.11913288707086385,-0.3823243407735155,0.011314939140168317,0.02053924150463197,0.01790530735547977,0.03158357160051428,0.5290348418101722,0.04938777147430669,-0.08548785581062575,-0.03002854895899178,0.007083124687742304,0.1585290437047843,0.018526481137485996,0.2144780422971999,0.3818090178884037,0.0055215958118702176,,,
G10_mom21_gross,2007-05-01,2026-06-30,4994,0.009881034093461373,0.11081184561022264,4.8727242569618325e-05,0.1547730040323002,4.060194508827682,0.08916947496946866,-0.41023207352520596,0.011057138950123722,0.017779232665250663,0.0156078558748464,0.023615183069350145,0.5058069683620344,0.048828540411820574,-0.04315221116998814,-0.030441395245370914,0.0037533147946022805,0.12732557948315504,0.009149247552365417,0.11894362617329972,2.2066107778199076,,G10_carry_gross,0.010720806113441403,0.44292232230017714
G10_mom21_net,2007-05-01,2026-06-30,4994,-0.01788262863192732,0.11151530376540553,4.9347868944010584e-05,0.13493415305859985,4.000911580915498,-0.16036030955488373,-0.5790865739465019,0.01132959913274761,0.01796213815417082,0.01584769035581776,0.023862508951891903,0.4981978374048859,0.048828540411820574,-0.04315221116998814,-0.02751927431799304,-0.023809836351727065,-0.22586710143787084,-0.041116194750401354,-0.06760860792245159,2.2066107778199076,0.027740285212021522,G10_carry_net,-0.01730694907642972,-0.7099765085199643
G10_filter21_gross,2007-05-01,2026-06-30,4994,0.0013053121441773928,0.11106902954832708,4.895368779685379e-05,-0.41856989282742196,4.832309415728186,0.011752260278905564,-0.43671540129902364,0.01127495869996479,0.019809556455706277,0.01667899236486869,0.026532188987588433,0.500200240288346,0.04145743669221863,-0.059565356494379156,-0.01746997517690428,-0.004862929234405899,0.016108859251145826,-0.011135236403252471,0.07290151602514433,1.0895278164390547,,G10_carry_gross,-0.008277851646917935,-0.3784547336436486
G10_filter21_net,2007-05-01,2026-06-30,4994,-0.011881077234465794,0.11122588093461974,4.909204995905637e-05,-0.41581235404786504,4.799212045227321,-0.10681935836003557,-0.5221311098421808,0.011354361147905848,0.019809556455706277,0.016742262134546083,0.026612291601404506,0.4955947136563877,0.04145743669221863,-0.059565356494379156,-0.018002482111172637,-0.01791705633247298,-0.1456850881992957,-0.03431524380512126,-0.032670264444617014,1.0895278164390547,0.013213968351796156,G10_carry_net,-0.018729996776671264,-0.8563143186160364
G10_blend21_gross,2007-05-01,2026-06-30,4994,0.004396541955251749,0.11245398842453536,5.018214092295845e-05,-1.3361072231592088,18.07434007394552,0.039096363026751534,-0.309377174455031,0.011289950757274372,0.01927746405441854,0.016826635895808354,0.028483314483536887,0.5238285943131759,0.03619861409873713,-0.11612938123072333,-0.00661651300769785,-0.0019664860344692503,0.05206359975414527,-0.006356273819919722,0.10308144699688788,1.6202960392889434,,G10_carry_gross,-0.007936389912536009,-0.4425716486840043
G10_blend21_net,2007-05-01,2026-06-30,4994,-0.016854086208359882,0.11289744630241878,5.057870389526798e-05,-1.3297373395362424,17.784499188362823,-0.1492866912437752,-0.49511804137436466,0.01139852567950499,0.01937339449509393,0.016960652481891117,0.02877962880535756,0.5172206647977573,0.03619861409873713,-0.11612938123072333,-0.008587644307536882,-0.02300222438710653,-0.19724435903977106,-0.046458061441785097,-0.07626592427808271,1.6202960392889434,0.021267594054898285,G10_carry_net,-0.025683661253379148,-1.4302529949211518
G10_mom63_gross,2007-05-01,2026-06-30,4994,-0.02139856410485389,0.11871228921925064,5.5923046078075444e-05,1.3812368472620125,25.549610308466406,-0.18025567736574197,-0.5979879452998654,0.01136171038782093,0.018261936722807466,0.016418530758654754,0.026199958422649407,0.500600720865038,0.11526896466914735,-0.0668052450427476,-0.04823113672898888,-0.02800280426890922,-0.262258722366883,-0.046828375871134004,-0.0879583450107819,1.4758014207026369,,G10_carry_gross,-0.020081511400269314,-0.757334721313774
G10_mom63_net,2007-05-01,2026-06-30,4994,-0.04062592257527598,0.11896346868091581,5.6159947938869993e-05,1.3679881534627376,25.367325998429283,-0.3414991427682977,-0.7106978257670462,0.011455495092384582,0.018756190220084734,0.016542862344256944,0.026414926052650504,0.4947937525030036,0.11526896466914735,-0.0668052450427476,-0.0470068966949614,-0.04654511845403164,-0.49269927182138856,-0.06549213571013271,-0.2120012350849633,1.4758014207026369,0.0192492266907257,G10_carry_net,-0.03970572453766033,-1.5010494113325668
