date,AUD,CAD,CHF,DKK,EUR,GBP,HKD,JPY,NOK,NZD,SEK,BRL,CNH,CNY,HUF,ILS,INR,KRW,MXN,PLN,SGD,THB,TRY,ZAR
2007-01-31,-0.27961843841087575,-0.10067787739880432,0.14441982641089962,0.13341159239119751,0.005711539312665341,0.0424654301004621,,0.5041211912072495,0.06023237411164368,-0.338780692520299,-0.09979429961491841,-1.4648566099842082,,,-0.786824833741431,-0.4955835678690499,-0.3697285129595378,0.3022052886014723,-0.6731171384299801,-0.5466604236595359,0.3705844088260193,-0.0036928738208908104,-1.4443980813921253,-0.9717628049678748
2007-02-28,-0.33710017311886925,0.12913831609237889,0.02375200211889156,0.21185413195324557,0.16843642394957586,0.04900784295469415,0.6425318804308421,0.7119852752879188,0.11635862066210256,-0.22367698226405935,0.03643038098127558,-0.9224929044347794,,,-0.7452415332034527,-0.5079823765173084,-0.34909681898567935,0.33587737672380863,-0.642787817684939,-0.5721200454756388,0.3112491851553926,0.0005955030108548972,-1.3503710815291456,-1.028818540263243
2007-03-31,-0.16856589326871552,0.16196430249587862,0.17601222293927457,0.22867978524842777,0.3643597444571134,-0.1627009290929762,0.6425318804308421,0.7183108256841586,0.11560704050456684,-0.274618155908997,0.037741790124717,-1.0674386493531423,,,,-0.4230163280997929,-0.6173901832753321,-0.1272546688256477,-0.6492282744678474,-0.605601826575803,0.2611019574434394,,-1.6090654599331864,-1.0461435593304014
2007-04-30,0.01943078920136799,0.14921957222200777,0.23295045368238876,0.18397707253284268,0.19677119557670913,0.08209140457439498,0.6590098262021306,0.7469370669486541,0.09527249070450185,-0.2648738214005379,0.011892202814651908,-0.9441437293151125,,0.9367030426243164,-0.6837491430912175,-0.33211962537802586,-0.03283809196157305,-0.1544429417575808,-0.9040314018807994,-0.6628586670478317,0.23804157064107984,0.24713889095054947,-1.6282491658439473,-0.9788647475550913
2007-05-31,0.016793248752339222,0.10893462491825752,0.08220577281684609,-0.05626788152478455,-0.0786004968546882,0.04779421554326365,0.6620548801821784,0.6374969819901667,-0.08182668512925755,-0.3354610276858128,-0.20907572558143062,-0.8374870593754988,,0.7945496602843347,-0.8835920374901236,-0.2468359295875467,-0.09443220082117162,0.0919202407952469,-0.7841099798941948,-0.4040242759905984,0.20880798461868352,0.24905767305481247,-1.476947239400585,-0.9630475014408066
2007-06-30,-0.11442731823673723,0.13058326806405499,0.026442720183204305,0.004090559102095635,0.05455808502440787,0.007504137456232377,0.9251845371630277,0.957115765153868,-0.0516021606796393,-0.3157434679542642,-0.10885773442022485,-0.7768843893225656,,0.9919312745381232,-0.8545317225318503,-0.27594341878518325,-0.04059603258869269,-0.013105171709242549,-0.8485957285936411,-0.523360936609037,-0.0867331427890757,-0.3122471238733405,-1.0225834168408523,-1.0173827573145278
2007-07-31,-0.359584851436123,0.09090910241546771,0.17201730009271962,0.11056185994265723,0.039471451955966644,-0.10212836249022925,1.0110549176817931,0.9640622409447728,-0.038676667354571405,-0.1266141519758275,-0.12234489796255024,-0.6836920773734791,,,-0.8230066346108578,-0.26999595857005587,-0.045573721310278724,0.10602018964976415,-0.8320969544341323,-0.5009170367325568,0.20592828758332765,-0.6085231716894989,-1.0236925602927311,-0.953042567652636
2007-08-31,-0.9022279485610275,-0.05420203282561883,0.12374639992120867,-0.04608613544568567,-0.19513359857142423,-0.3010309206602373,0.6761872466108387,1.3773298857997565,-0.12933279783329846,,-0.23252768823278727,,,0.39242524304819326,-0.8412264895626748,-0.26453814652355173,-0.9746617404265208,-0.41854675692769816,-0.7315771185938722,-0.49941514879180654,-0.5560515829017837,-0.38638100586168994,-1.1948642618732424,-0.9998019308121827
2007-09-30,-0.33312519626387976,-0.1264109998892923,0.21540495896328377,0.09740875813222838,0.09854945671152193,-0.3437397438892138,0.3326720994996749,1.017345629065841,0.04127213791808831,-0.5546526776829879,-0.02949520370103608,-0.8240621132725555,,0.2876551730724825,-0.6487817173303622,-0.29370224667585526,0.18181078657552407,0.07373461206474213,-1.0294374038928746,-0.37006649425601124,0.3112408960664657,-0.24445410563182282,-1.0727293401131006,-1.0224668611834855
2007-10-31,-0.4030411844016127,0.04423605479006701,0.20259833840003091,-0.08067986355042006,-0.10701957978202957,-0.2637222118963768,,1.3170726644669852,-0.09271249707220762,-0.6099899819854153,-0.16392400953814026,-0.7924087011993204,,1.0590550198946023,-0.7330653689438027,-0.2651577454898983,-0.6765730516144348,0.13856320880554615,-0.7282812055665098,-0.2065280610418307,0.28080027974489297,-0.3535281977468777,-0.7553798074013803,-0.8487728976540346
2007-11-30,-0.7918695418760355,-0.12863450384380917,0.1245223718980016,-0.27461980997459934,-0.19199829676599037,-0.4944382078345378,0.9906330241252361,0.9157510507023524,-0.2310145153397133,-0.6681873240101897,-0.3003645966339359,-0.9152700294793816,,1.4582784325111224,-0.7806498370673358,-0.2711651180181887,-0.708242431656677,0.3061942699928015,-0.7321152175555131,-0.19021559484460604,0.20244331889189995,-0.4586870022196605,-0.9032606017797243,-0.8879594399366918
2007-12-31,-0.5431991576839613,0.01567714554402243,0.041142830683775194,-0.23470933967873003,-0.2202882849376636,-0.45728762975801174,,0.9265368868114531,-0.2118052840206979,-0.41922887520615143,-0.2723644055508549,-1.0414087363032183,,1.3433223537381576,-0.7450234108858127,-0.25600727769435466,-0.8641232857142008,-0.2948874024706252,-0.8704090356506562,-0.19021559484460604,0.04837352213135353,-0.03156726676120339,-1.0503679339299488,-0.9183088877732932
2008-01-31,-0.3616178319458927,0.03581922522733848,0.1382466383523219,-0.36306200220558554,-0.22141034714477842,-0.4718895550082714,,0.9817312069393815,-0.41331721858673,-0.42949863108947134,-0.16967423479789986,-1.0278538482339488,,1.5156138034995128,-0.7693070778175072,-0.3311918703203906,-0.8736936620202663,-0.3544855028760634,-1.1721844328754456,-0.14648214281501915,-0.05545639510817857,-0.3365363093764344,-0.9983636914410673,-0.8147981610434513
2008-02-29,-0.26521757761481607,0.02851088434704854,0.013036140335124565,-0.6095556014206522,-0.19819884269073046,-0.3222628380488212,0.3690357183614903,0.9182277073151288,-0.16327674063155823,-0.33116173951659184,-0.10697244515552869,-1.1386062232314393,,1.580211304130726,-0.5205741976943603,-0.2175706497110996,-0.7428937846496789,-0.4689161312039306,-0.9085852161461238,-0.22126732114054906,-0.12106112808548274,-0.7411647547003372,-1.2159271071938098,-0.8796338721396724
2008-03-31,-0.3169380210558934,-0.1111127727687268,0.37602201240979816,-0.6039393544999572,-0.21859197223015567,-0.34421798797992853,,1.0835468298569775,-0.2372532621193659,-0.3908250122366976,-0.16591417992895313,-0.9767207204098113,,1.56695104508954,-0.657328070717994,-0.1685516554375966,-0.9347815330885381,-0.8666641003838255,-1.068031229555876,-0.21139217156305934,-0.09787223338590659,,-1.1031927132398993,-0.9376393915864729
2008-04-30,-0.3131855438196026,-0.04691485015841857,0.2772259527322463,-0.2447837293178914,-0.26050847754177997,-0.3925249115713612,1.6866786692768159,0.9178978096819456,-0.25572133346993775,-0.3447424972983169,-0.18859638159612302,-0.8776650672699877,,1.14911887970717,-0.6836821828855183,-0.26571229541571223,-0.9291375601058902,-1.0685783776417521,-0.3262534874902362,-0.30026259776574693,-0.26071545758568565,-0.21854210383142766,-1.1442663139224614,-1.0478792493780473
2008-05-31,-0.36469662707084705,-0.04109054225416051,0.45887934029747895,-0.08556776559124149,-0.13806347096024754,-0.3147230553360039,1.6924564484500617,0.93364674074861,-0.04576826558466056,-0.3847899336968886,-0.10295557047606697,-0.5528211771627114,,0.7453628640933437,-0.634430747008818,-0.17950160285923047,-0.6739667837057719,-0.8296847311514471,-0.23226406422098334,-0.28826516946758063,-0.46967820581137615,-0.06526835774579216,-0.9579724741919714,-0.9973398416723378
2008-06-30,-0.3606560258520206,-0.015304013063539611,0.4872978986130103,-0.0351729655319647,-0.07420658171964248,-0.3548351773620084,0.3226654765337506,1.0775514543566134,-0.03539057930014816,-0.5771799699200015,-0.04046872270211003,-0.709797606039143,,0.15580708704872984,-0.5008451464713974,-0.2276093122194617,-0.6255307878000514,-1.0207785878492563,-0.4732023154275303,-0.2560465074350349,-0.5812736525686124,-0.6201291019856983,-0.9496811663106968,-0.9898827905080598
2008-07-31,-0.4508468202326819,-0.1012797018583724,0.5664988523904111,0.1143790872373516,0.03165408328583216,-0.24013442549252365,1.5192366489411422,1.2175826684518312,0.00038931864549507166,-0.6499265118153722,0.050259583580214644,-0.76894430223318,,-0.02361910553006992,-0.5625668053279477,-0.2618618943595651,-0.3041823600163924,-0.44454576450197536,-0.20802135177048323,-0.2945054898795473,-0.43080581582310945,-0.4690262741580193,-0.9444188132552931,-1.0214276280789578
2008-08-31,-0.4916199023359936,-0.20874564994066017,0.4415671450264824,-0.1475378326853192,-0.1760378781306214,-0.43058578080904003,1.9190860401776817,1.0504790934510584,-0.12356858860963237,-0.5120974225874859,-0.1445610842919764,-0.9354815278375566,,-0.3014992816535573,-0.5032503280607595,-0.17951684188164332,-0.5732589403641232,-0.8500194553679561,-0.548185892857055,-0.2919395460323291,-0.5661898862296345,-0.5001039315167903,-0.8891429186933741,-0.9119848114561038
2008-09-30,-0.4796600549754998,-0.0768669789266903,0.2480827987891379,-0.08168872839028152,-0.1255690331459952,-0.27271629981181367,1.3617067603897854,1.048992940447557,-0.1302725998225615,-0.5515549788768728,-0.13673578327833558,-0.9136634651113592,,-1.1943822044926158,-0.46945071481996725,-0.16218879406175146,-0.8675294297094953,-1.0536851920605945,-0.9314527649667078,-0.29633505669345533,-0.48178201620142447,-0.49388496906061696,-1.1178140260397167,-0.923358747596844
2008-10-31,-0.8258444173124015,-0.4500588157375498,-0.04884221231981677,-0.4225739715404433,-0.4044015739766951,-0.5617881945644452,-1.1356380937317596,1.1768043506841022,-0.3847653112242649,-0.888830129903685,-0.4758977324589051,-1.6010887122427229,,-2.117317140267773,-0.9605104836071997,-0.5736969478863455,-1.697808565037757,-1.1794889831476625,-1.8299633929210077,-0.5826103652874199,-0.6354214108852344,-0.8174229484210022,-1.0688222675609031,-0.8913653239924595
2008-11-30,-1.1056972549698147,-0.34337111218861477,-0.026998192131119397,-0.26049566259213747,-0.23080581516615092,-0.642544833217308,,1.5660704426438945,-0.2669921177474157,-1.2345767109666235,-0.36448660101144364,-1.6797825881598196,,-1.988754570909544,-0.976558400798804,-0.5406134216911151,-1.5847468236949265,-1.4225959601631692,-1.7234268435889957,-0.8904954253801162,-0.9039929138810339,-0.7013199943557026,-1.13015329233338,-1.1720474766043316
2008-12-31,-0.5967799603220002,-0.11124666169317028,0.2429999019130905,-0.014276646797117296,-0.04501703319205017,-0.509379153654793,,1.406648686738501,-0.09728444223510796,-0.5680536471450728,-0.1682639751120398,-1.3453637861318044,,-2.1197414067959977,-1.0519793018299395,-0.593436392920934,-0.6255055590426657,-0.9676471686696778,-1.2901183319155507,-0.7983174529151846,-0.30696663314908745,-0.773830328672517,-1.2378924733918506,-1.2462216481882142
2009-01-31,-0.6027121168016552,-0.17354496073881695,0.14669981888568354,-0.13968644317790901,-0.1252719265972186,-0.5472267067292578,,0.9209807856497704,-0.16441726275097518,-0.6851125807824848,-0.21824668195540856,-1.0885233759678816,,-1.848792213728001,-1.0129077160503508,-0.5643744769174532,-0.8032322078741062,-0.9081119691675722,-1.2732809855570262,-0.7120714768624239,-0.34330339626828427,-1.2639259626650445,-1.119099521859763,-1.2420024062791901
2009-02-28,-0.3942625000046363,-0.20003431085605472,0.17786434459113232,-0.13372846586396697,-0.08982288878857317,-0.5192166418980045,,0.46592420988393296,-0.1006283800616281,-0.4430092476978034,-0.1774837396317236,-1.0993782664140659,,-1.1540056101439282,-0.9636124318991109,-0.49312116082096064,-0.9044958596671284,-0.6587235992726431,-1.0666389477062024,-0.7954612952223804,-0.3081354873565784,-1.084040572208988,-1.2965081076489238,-1.19302714606266
