,alpha_ann,alpha_t,beta,t_beta,r2,n
BASIS~CARRY,0.01632107288522898,0.6588804417432285,0.24157760238796416,2.8404394506087987,0.04842037533623167,4545.0
CARRY~BASIS,-0.007730308656623382,-0.3432071776918079,0.2004340421363657,2.6731726033731573,0.04842037533623189,4545.0
ONSHORE~CARRY,-0.005521557907863679,-0.45066372310320174,0.8921110981113402,41.642890571722674,0.7134755864721405,4545.0
