,U21_carry_net,U21_iskew_net,U21_blendhi_net,U21_blendlo_net,U21_clean_net,U21_srp_net,ALL_carry_net,U21_srp126_net
U21_carry_net,1.0,0.7366872213171294,0.8762096796963791,0.12782690930912052,0.45233068828236656,0.4651184015202327,0.9162176193701836,0.4123071000435361
U21_iskew_net,0.7366872213171294,1.0,0.8616261950841084,-0.2092147245728621,0.11475409533122408,0.5969533937926477,0.682382970569792,0.5234095513219862
U21_blendhi_net,0.8762096796963791,0.8616261950841084,1.0,-0.04087187753203444,0.2815352367818005,0.5599967125228762,0.81901051040423,0.48787092629639406
U21_blendlo_net,0.12782690930912052,-0.2092147245728621,-0.04087187753203444,1.0,0.7670267791178531,-0.2028915486063521,0.12152821502316401,-0.224694470388501
U21_clean_net,0.45233068828236656,0.11475409533122408,0.2815352367818005,0.7670267791178531,1.0,0.012746949812264418,0.4362199885628894,-0.008223811935495763
U21_srp_net,0.4651184015202327,0.5969533937926477,0.5599967125228762,-0.2028915486063521,0.012746949812264418,1.0,0.4531121398610252,0.6139006566950995
ALL_carry_net,0.9162176193701836,0.682382970569792,0.81901051040423,0.12152821502316401,0.4362199885628894,0.4531121398610252,1.0,0.3880359272007743
U21_srp126_net,0.4123071000435361,0.5234095513219862,0.48787092629639406,-0.224694470388501,-0.008223811935495763,0.6139006566950995,0.3880359272007743,1.0
