date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,BRL,CLP,CNH,COP,HUF,IDR,ILS,INR,KRW,MXN,MYR,PEN,PHP,PLN,SGD,THB,TRY,ZAR
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-31,0.0,0.0,-0.23814040435607414,0.0,0.0,-0.15900971493499183,0.0,0.0,-0.21127339262098616,0.3352496505997137,0.0,0.0,0.0,0.0,0.589118570857414,0.0,0.36513392005882017,0.0,0.0,0.0,-0.7973361924723903,0.0,0.0,-0.5873689724040279,0.47002146397407824,0.23360507129844424,0.0
2007-06-30,0.0,0.0,-0.26268756613937383,0.0,0.0,-0.23205929959561128,0.0,0.0,-0.22650434010060125,0.3979943756339198,0.0,0.0,0.0,0.0,0.4655680185460616,0.0,0.0,0.0,0.0,0.0,-0.844301275589022,0.0,0.0,-0.5451542946729727,0.6161644618213198,0.3478618009158479,0.28311811918043217
2007-07-31,0.0,0.0,-0.214536934985787,0.0,0.0,-0.2904004790647212,0.0,0.0,-0.17513629841109993,0.26895992274812763,0.0,0.0,0.0,0.0,0.0,0.0,0.40404961796460404,0.0,0.0,0.0,-0.7906021174190679,0.0,0.0,-0.5058171873362125,0.7906372342335101,0.256919613111536,0.2559266291591105
2007-08-31,0.0,0.0,-0.28040851623903734,0.0,0.0,-0.281082504406821,0.0,0.0,-0.24803408842334695,0.19008977158751061,0.0,0.0,0.0,0.0,0.0,0.0,0.48603884430782723,0.0,0.0,-0.29443098922640604,0.0,0.0,0.0,-0.6404859206312346,0.6601588114672929,0.2012009334078296,0.20695365815638542
2007-09-30,0.0,0.0,-0.2504227284181512,0.0,0.0,-0.16476729093559186,0.0,0.0,0.0,0.20940187231287982,0.0,0.0,0.22448203865412444,0.0,0.0,0.0,0.6196265348891997,-0.37290209728553936,0.0,-0.2807645792420772,0.0,0.0,0.0,-0.48014831582470036,0.0,0.22136873150977474,0.27412583434008125
2007-10-31,0.0,0.0,-0.2183804175006764,0.0,0.0,-0.1352213091678725,0.0,0.0,0.0,0.13465718527211626,0.0,0.0,0.0,0.0,0.3985672919076984,0.0,-0.37097409847662804,0.0,0.0,-0.3020521506490659,0.0,0.0,0.0,-0.40636017406712777,0.5732000801403927,0.14571993446699463,0.1808436580741686
2007-11-30,0.0,0.0,-0.23801454500838343,0.0,0.0,-0.1492667851538153,0.0,0.3075045742485045,0.0,0.2899059139582771,0.0,0.0,0.29497038767686673,0.0,0.0,0.0,0.0,-0.329049588774876,0.0,0.0,-0.4720534006144384,0.0,0.0,-0.39679157719281644,0.0,0.32914635425783373,0.36364866660284745
2007-12-31,0.0,0.0,-0.1597810811372068,0.0,0.0,-0.10804827263195181,0.0,0.13215104163914337,0.0,0.0,0.0,0.0,0.18502898096988002,0.0,0.0,0.0,0.3995732865167132,-0.2263756034275411,0.0,-0.23122596773149284,0.0,0.0,0.0,-0.2734808016088792,0.0,0.15406512043445314,0.12809329697688207
2008-01-31,0.0,0.0,-0.12615520855408305,0.0,0.0,-0.09090297763228548,0.0,0.0,0.0,0.13836606747789565,0.0,0.0,0.23188691414289797,0.0,0.0,0.0,0.0,-0.19137451778982606,0.0,0.0,-0.38947419273559836,0.0,0.0,-0.22477322809167594,0.40912514238357317,0.14077030845266164,0.10253169234644047
2008-02-29,0.0,0.0,-0.1428751230608309,0.0,0.0,-0.11061106844306938,0.0,0.17253653058887092,0.0,0.18488518113474028,0.0,0.0,0.33029736219355305,0.0,0.0,0.0,0.0,-0.2416583879011918,0.0,0.0,-0.28967280640478293,0.0,0.0,-0.2656427812456508,0.0,0.21638276652427385,0.1463583266140878
2008-03-31,0.0,0.0,-0.1624411530589598,0.0,0.0,-0.15918670062258186,0.0,0.0,0.0,0.2178368188502246,0.0,0.0,0.3516887270540522,0.0,0.5427895702277603,0.0,-0.45091600805367765,0.0,0.0,0.0,-0.3498161790060519,0.0,0.0,-0.37321992880689664,0.0,0.23383889690209303,0.14942595651403776
