currency,mean_vrp_vol_pts,sd_vol_pts,t_newey_west,share_months_positive,mean_implied_vol,mean_realized_vol,n_months
TRY,2.827205626120587,9.950822840101269,3.7917505364467217,0.7489177489177489,14.350964529914531,11.564842858727896,231
THB,1.892096939576215,3.1387162236439323,5.022313616282448,0.7552083333333334,6.953226495726496,5.129608789590452,192
INR,1.417333116558307,2.0886243227338666,6.347082568554665,0.8198198198198198,7.169155982905982,5.516428144702955,111
KRW,1.3820340804875468,6.4554709376427155,2.4420802701706963,0.7371428571428571,10.162823076923075,9.158812205226738,175
MXN,1.0034177457394116,5.19239620034602,2.8917400029049882,0.6982758620689655,12.159209401709404,11.113651219777829,232
JPY,0.7615002471460466,3.1509545723592445,3.7456265832133218,0.6982758620689655,9.789629914529915,9.032264408026368,232
ILS,0.7400047506895937,2.623731546774501,4.140290037685196,0.7068965517241379,8.391346153846154,7.654100852758681,232
ZAR,0.7025169832771546,5.352223846856266,2.076820908591471,0.6363636363636364,15.696623931623929,14.95999383923367,231
CNH,0.675862411974661,1.5733366192914229,6.0348607562606285,0.7582417582417582,4.268121621621622,3.54608141654887,182
SGD,0.6164029237550354,1.3814355151290691,6.039902803717573,0.7543103448275862,5.409957264957265,4.764653110727723,232
EUR,0.5517088181174965,2.107286195269454,3.48291966330334,0.6594827586206896,8.654059829059829,8.082817043951469,232
PLN,0.5011838821899878,4.193116676995916,1.6930812457522362,0.6855895196506551,12.298290598290599,11.73274624881438,229
GBP,0.40676096194200895,2.6078315176004763,2.301744204827321,0.6637931034482759,8.901466666666668,8.496614900126955,232
CAD,0.3796955222071556,2.2845780766614485,2.2780896513200424,0.6336206896551724,8.175871794871796,7.783856201930775,232
BRL,0.33659593373109675,5.527132185852585,0.7114200213608433,0.6262626262626263,15.332487179487176,14.889242450107288,198
NZD,0.30716261332384476,3.2012353828003803,1.4713144170265675,0.6293103448275862,11.56188034188034,11.228764110814087,232
SEK,0.2725826414227154,2.7783311308889043,1.352394996653105,0.6551724137931034,11.138861538461539,10.83883373788763,232
HUF,0.23100144965437275,3.8827228876286015,0.7874731710656376,0.6379310344827587,13.032682051282052,12.765227429655972,232
NOK,0.17158520322726797,3.6358891830584397,0.674908365269937,0.6422413793103449,11.667193162393161,11.476973848496872,232
AUD,0.08676451271230748,4.285549676223276,0.2934208752776982,0.6336206896551724,10.951693589743591,10.83895229763252,232
CHF,-0.0032765615562203075,4.877830650274598,-0.010398228473058454,0.6379310344827587,8.738611111111112,8.712705440866564,232
