book,vol_target,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,CVaR_99,skew,hit_rate,turnover,cost_drag
ALL baseline,0.1,0.05214343433645578,0.1119142098626392,0.46592326747832447,0.6341168503826068,0.1600595389477542,-0.29318494205516343,0.02919874578407466,-0.6480046211041329,0.5382923415316937,0.6754702284294828,0.018146611265764313
CORE levered to matched risk,0.1264,0.053346381245303554,0.11083366048399176,0.4813193123131454,0.6820796328279088,0.20241182832835425,-0.23874335960775983,0.02529030834058671,-0.29539935742201995,0.5166966606678665,0.7431604819888197,0.0160123524314095
