,U7_carry_net,U7_basis_net,U7_onshore_net,U7_tilthi_net,U7_tiltlo_net,U7_clean_net,ALL_carry_net,ALL_basiscond_net
U7_carry_net,1.0,0.16346571771443438,0.8638702935178718,0.7635337013373645,0.6241674831338164,0.823287974491215,0.549039623580144,0.5449813551859194
U7_basis_net,0.16346571771443438,1.0,0.007196269416047613,0.4690332208568944,-0.3001207528543199,0.04206136001826103,0.06415375315119588,0.08590193821932536
U7_onshore_net,0.8638702935178718,0.007196269416047613,1.0,0.6302126429485281,0.779698993835874,0.7975943927958561,0.538275582407302,0.5274603912482284
U7_tilthi_net,0.7635337013373645,0.4690332208568944,0.6302126429485281,1.0,0.35471736303051105,0.6922032434413443,0.4355261089081007,0.4436913434490755
U7_tiltlo_net,0.6241674831338164,-0.3001207528543199,0.779698993835874,0.35471736303051105,1.0,0.7052547893627606,0.3886618477501022,0.3664107534151317
U7_clean_net,0.823287974491215,0.04206136001826103,0.7975943927958561,0.6922032434413443,0.7052547893627606,1.0,0.4671563543340901,0.45691814881810633
ALL_carry_net,0.549039623580144,0.06415375315119588,0.538275582407302,0.4355261089081007,0.3886618477501022,0.4671563543340901,1.0,0.9808270602251495
ALL_basiscond_net,0.5449813551859194,0.08590193821932536,0.5274603912482284,0.4436913434490755,0.3664107534151317,0.45691814881810633,0.9808270602251495,1.0
