variant,gross_sharpe,net_sharpe,ann_return,ann_vol,max_drawdown,CVaR_99,skew,calmar,sortino,turnover,cost_drag,n_days,d_net_sharpe_vs_baseline,d_maxdd_pp_vs_baseline,d_net_sharpe_vs_incumbent,d_maxdd_pp_vs_incumbent,d_calmar_vs_incumbent,alpha_vs_baseline_ann,t_alpha_vs_baseline,bar_baseline,bar_per-currency RR,bar_VIX percentile gate (incumbent),cfg_universe,cfg_tenor,cfg_signal,cfg_n_buckets,cfg_weighting,cfg_max_leg_share,cfg_vol_window,cfg_rebal,cfg_vol_target,cfg_lev_cap,cfg_extra_lag,cfg_costs,cfg_cost_multiple,cfg_exposure,cfg_weight_overlay,cfg_external_legs
baseline,0.6284423467928719,0.46592326747832447,0.05214343433645578,0.1119142098626392,-0.29318494205516343,0.02919874578407466,-0.6480046211041329,0.1600595389477542,0.6341168503826068,0.6754702284294828,0.018146611265764313,5001,0.0,0.0,0.0006532674783244485,-4.815494205516344,-0.021440461052245785,,,0.4659,0.4559,0.46527,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,
VIX percentile gate (incumbent),0.635261773616656,0.46527268926193216,0.04910222758219888,0.10553430002541166,-0.24502975265410487,0.028321020244471695,-0.7314142927996281,0.18150234673973334,0.6311426281788249,0.7056276062931829,0.017883830170162533,5001,-0.0006505782163923057,4.815518940105856,2.6892619321428057e-06,2.4734589512687144e-05,2.3467397333443163e-06,0.0008116332273142174,0.17618139640837704,0.4659,0.4559,0.46527,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,True,,
tail forecast (binary p80 gate),0.5876998885528786,0.41793004962160135,0.04496313163896286,0.10758530447780194,-0.2873743181396293,0.028882744122621765,-0.7048384860219833,0.13895536361816904,0.5663389634224147,0.7027676224796167,0.018214766147985957,5001,-0.047993217856723114,0.5810623915534108,-0.047339950378398665,-4.2344318139629324,-0.04254463638183095,-0.004535898658977286,-1.0969131647391568,0.4659,0.4559,0.46527,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,True,,
tail forecast (continuous 1-p),0.4624775550672942,0.2973619434466248,0.028305394011385245,0.0951883542436759,-0.2940359150522236,0.026944360816289866,-0.7990984639640913,0.0817742005695433,0.3996757559270606,0.6390316716712376,0.015696244682690107,5001,-0.16856132403169966,-0.0850972997060162,-0.1679080565533752,-4.900591505222359,-0.09972579943045669,-0.013859625524607674,-2.002031619657133,0.4659,0.4559,0.46527,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,True,,
