tenor,gross_sharpe,net_sharpe,ann_return_net,ann_vol_net,max_drawdown_net,turnover,cost_drag,window_start,window_end
1M,0.6284423467928719,0.46592326747832447,0.05214343433645578,0.1119142098626392,-0.29318494205516343,0.6754702284294828,0.018146611265764313,2007-05-01,2026-06-30
3M,0.487503286886094,0.35012892020508546,0.03953697272302192,0.11292118543039353,-0.3268142066789964,0.5259077392230587,0.01547562967054589,2007-05-01,2026-06-30
6M,0.514789946222863,0.36970789752512756,0.04198794548859294,0.11357059389227463,-0.31424032749232245,0.4501308746146718,0.01644647401168364,2007-05-01,2026-06-30
12M,0.5656743264404759,0.3994941021157868,0.0449778608362773,0.11258704596154766,-0.31193193965377597,0.4259053138771859,0.018662749302391823,2007-05-01,2026-06-30
