date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK
2007-01-31,,,,,,,,,
2007-02-28,,,,,,,,,
2007-03-31,,,,,,,,,
2007-04-30,,,,,,,,,
2007-05-31,0.386799447709124,0.0,-0.4455156695988863,0.0,0.4553037588540642,-0.29747711151135453,0.0,0.29614214513237774,-0.3952525705853251
2007-06-30,0.5128338587151756,0.0,-0.5835663894598925,0.0,0.6409217017150709,-0.5155250002725735,0.0,0.4485203609955568,-0.5031845316933372
2007-07-31,0.6093913125083052,0.0,-0.6018485955179501,0.0,0.7287952569940634,-0.728785734591471,0.0,0.48376425690134417,-0.4913164962942916
2007-08-31,0.43307227066753895,0.0,-0.435667422776009,0.0,0.503114374327523,-0.43671459028710374,0.0,0.3215630220656884,-0.3853676539976376
2007-09-30,0.26763324048528997,0.0,-0.3233557930996818,0.0,0.3233723223057702,-0.22268036160987834,0.0,0.2173815468042593,-0.2623509548857593
2007-10-31,0.24904664309653787,0.0,-0.29830779845364375,0.0,0.29831979398309766,-0.19468672257820593,0.0,0.19840052515911213,-0.25277244120689807
2007-11-30,0.26223175800793197,0.0,-0.2952730036496217,-0.31219873623701666,0.3170737231209929,-0.18517545638203498,0.0,0.2133417151397485,0.0
2007-12-31,0.23124454749127304,0.0,-0.27492733134979075,-0.3054881374069963,0.30654138172361206,-0.18591326983291956,0.0,0.2285428093748214,0.0
2008-01-31,0.23259705554137172,0.0,-0.2783510876988311,-0.29386790829076187,0.30912288739141414,-0.2005699407025414,0.0,0.2310689937593485,0.0
2008-02-29,0.2490368307880519,-0.2335555545293377,-0.3125021782701374,0.0,0.0,-0.2419329487788398,0.2935015405778395,0.24545231021242342,0.0
2008-03-31,0.3860654802585866,-0.346107312976766,-0.383747614410976,0.0,0.0,-0.37605936340342055,0.37732394967407434,0.3425248608585016,0.0
2008-04-30,0.29094527233690914,-0.31620222902131545,-0.2817486964081614,0.0,0.0,-0.27527475628906095,0.3029340020893293,0.2793464072922994,0.0
2008-05-31,0.28364870655287827,-0.33666314131221536,-0.25655926933488926,0.0,0.0,-0.2623432533854824,0.2756573703993227,0.2962595870803861,0.0
2008-06-30,0.32026023485931365,-0.3736217275404705,-0.27194548245206956,0.0,0.0,-0.28848500841120595,0.29301943312263456,0.3207725504217977,0.0
2008-07-31,0.5300783236095449,-0.559427110225387,-0.38871539152164164,0.0,0.0,-0.5073799497087114,0.4165166168450129,0.5089275110011824,0.0
2008-08-31,0.6575365047109109,-0.7283896255692043,-0.49638270652350763,0.0,0.0,-0.5961906702914948,0.539134659602683,0.6242918380706128,0.0
2008-09-30,0.5832921608536648,-0.6500579389611911,-0.5015162208841277,0.0,0.0,-0.5449505874166751,0.5299275403653413,0.5833050460429878,0.0
2008-10-31,0.23343064859378448,0.0,-0.2600176087980396,-0.2848368082667421,0.0,-0.24223782737927152,0.27179972113734646,0.28186187471292223,0.0
2008-11-30,0.08111093367439157,-0.10580337744049637,-0.13359710123438825,0.0,0.0,-0.09459105774422728,0.1335972897405588,0.11928331300416155,0.0
2008-12-31,0.07550037402493469,-0.0915818477769915,-0.12330116087435603,0.0,0.0,-0.09336752988456713,0.12330058064231525,0.10944958386866474,0.0
2009-01-31,0.08975704810335623,0.0,-0.1356178883610734,0.0,0.0,-0.11399007452562099,0.12976014918848292,0.11952725296187593,-0.08943648736702073
2009-02-28,0.16644884158237103,-0.1626329821045132,-0.16824181588370102,0.0,0.0,-0.1822894377082238,0.1748713754919796,0.17184401862208754,0.0
2009-03-31,0.18877298875948254,-0.18855737706384704,-0.168658736501935,0.0,0.0,-0.20673779652816082,0.1873355651199616,0.1878453562144986,0.0
2009-04-30,0.18172702289133985,-0.1701816609016385,-0.18429117664168548,0.0,0.0,-0.1838919797758872,0.17968653902098258,0.1769512554068887,0.0
2009-05-31,0.19091355699900447,-0.18775045708567206,-0.19103924887047063,0.0,0.0,-0.19471528192353185,0.19444872289401827,0.1881427079866519,0.0
2009-06-30,0.22169702713377906,-0.2162745535530158,-0.2021187189321105,0.0,0.0,-0.22290117552111816,0.21780740181341932,0.20179001905904606,0.0
2009-07-31,0.2191489683019191,-0.2048687266185641,-0.2183494174035372,0.0,0.0,-0.25065363784663713,0.25150699229013124,0.203215821276688,0.0
