date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,BRL,CLP,CNH,COP,HUF,IDR,ILS,INR,KRW,MXN,MYR,PEN,PHP,PLN,SGD,THB,TRY,ZAR
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,0.0,0.0,-0.12837706451978317,0.0,0.0,-0.09072804067120971,0.0,0.0,-0.09015668574818639,0.22483783287933384,0.0,0.0,0.0,0.0,0.0,0.0,0.4000118435651196,0.0,0.0,-0.400004747692175,0.0,0.0,0.0,-0.29073346136864575,0.10769517280225327,0.16145515194454793,0.1059999988087454
2007-04-30,0.0,0.0,-0.1382190747810453,0.0,0.0,-0.08540966216905649,0.0,0.0,-0.10587102223787219,0.1928343033819557,0.0,0.0,0.0,0.0,0.29414587611565685,0.0,0.2585001562307797,0.0,0.0,-0.36573885008181856,0.0,0.0,0.0,-0.3047613907302074,0.10927559207363216,0.14524407219797567,0.0
2007-05-31,0.0,0.0,-0.11948069742280261,0.0,0.0,-0.07977895094621001,0.0,0.0,-0.10600087946223881,0.16820271290256167,0.0,0.0,0.0,0.0,0.2955747803531989,0.0,0.1831963607322939,0.0,0.0,0.0,-0.4000425069178869,0.0,0.0,-0.29469696525086175,0.2358209329120808,0.11720521309986483,0.0
2007-06-30,0.0,0.0,-0.12445478884805049,0.0,0.0,-0.1099438833586626,0.0,0.0,-0.10731208269458344,0.18855976592341214,0.0,0.0,0.0,0.0,0.22057446530154015,0.0,0.0,0.0,0.0,0.0,-0.40000879570303166,0.0,0.0,-0.2582804493956717,0.29192328787636085,0.16480820777910163,0.13413427311958523
2007-07-31,0.0,0.0,-0.10854424129859955,0.0,0.0,-0.14692714648374314,0.0,0.0,-0.08860962163059417,0.1360793690669607,0.0,0.0,0.0,0.0,0.0,0.0,0.20442754638898178,0.0,0.0,0.0,-0.40000248446732156,0.0,0.0,-0.25591650611974165,0.4000202517015775,0.12998761486812943,0.1294852179743505
2007-08-31,0.0,0.0,-0.16074395892592658,0.0,0.0,-0.16113032210708764,0.0,0.0,-0.14218534392787313,0.10896881038468159,0.0,0.0,0.0,0.0,0.0,0.0,0.2786213809541408,0.0,0.0,-0.16878233041390248,0.0,0.0,0.0,-0.3671580446252101,0.37843551365118605,0.11533827506150382,0.11863601994848769
2007-09-30,0.0,0.0,-0.16166682904552898,0.0,0.0,-0.10636975974281623,0.0,0.0,0.0,0.13518476101135818,0.0,0.0,0.14492015000447414,0.0,0.0,0.0,0.40001583610549374,-0.24073653375390205,0.0,-0.1812547907335985,0.0,0.0,0.0,-0.3099720867241542,0.0,0.14291027455486488,0.176968978323809
2007-10-31,0.0,0.0,-0.15239513147530415,0.0,0.0,-0.09436317333186184,0.0,0.0,0.0,0.09396950371511668,0.0,0.0,0.0,0.0,0.2781371862330169,0.0,-0.25888148378094866,0.0,0.0,-0.21078482098982246,0.0,0.0,0.0,-0.2835753904220629,0.4000033637374077,0.10168956001561619,0.12620038629884253
2007-11-30,0.0,0.0,-0.150150242315205,0.0,0.0,-0.09416417790630228,0.0,0.19398766716051163,0.0,0.1828856435135637,0.0,0.0,0.18608054051457865,0.0,0.0,0.0,0.0,-0.20757922792712505,0.0,0.0,-0.29779244157317336,0.0,0.0,-0.2503139102781944,0.0,0.20764027193060533,0.22940587688074074
2007-12-31,0.0,0.0,-0.15995515608883681,0.0,0.0,-0.10816598680498311,0.0,0.1322950147930203,0.0,0.0,0.0,0.0,0.18523056247554542,0.0,0.0,0.0,0.40000860526676796,-0.22662223038698084,0.0,-0.23147787896442473,0.0,0.0,0.0,-0.27377874775477445,0.0,0.15423296808072404,0.12823284938394228
2008-01-31,0.0,0.0,-0.12335744627708163,0.0,0.0,-0.08888700917088277,0.0,0.0,0.0,0.13529750321928455,0.0,0.0,0.22674432456332352,0.0,0.0,0.0,0.0,-0.18713037747419115,0.0,0.0,-0.3808367673229639,0.0,0.0,-0.21978839975488051,0.40005191502298515,0.1376484249947791,0.10025783219962767
