,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio
G10_gross,2007-05-01,2026-06-30,4994,0.01926326219836568,0.11543232334281685,5.2875481239367533e-05,-0.9537969963085206,9.993779887971456,0.16687927298454053,-0.36533683919032567,0.011314939140168317,0.020469275118948662,0.017882910679192433,0.031562103629509744,0.5310372446936323,0.04938777147430669,-0.08548785581062575,-0.02906221403091451,0.012648756250369875,0.2224685935829694,0.03462217573897711,0.26940271836027946
G10_net,2007-05-01,2026-06-30,4994,0.0137556003794705,0.11546434169171316,5.2904818263097966e-05,-0.9524992463416856,9.971004653038946,0.11913288707086385,-0.3823243407735155,0.011314939140168317,0.02053924150463197,0.01790530735547977,0.03158357160051428,0.5290348418101722,0.04938777147430669,-0.08548785581062575,-0.03002854895899178,0.007083124687742304,0.1585290437047843,0.018526481137485996,0.2144780422971999
G10_hedged,2007-05-01,2026-06-30,4994,0.012197897992622242,0.10210906141181289,4.1374049295243554e-05,-0.6740140316064466,7.643474659326057,0.11945950559105893,-0.3616252727391861,0.010146906485331623,0.01921888520471469,0.0161966681960452,0.02792006817273548,0.5310372446936323,0.04938777147430669,-0.05297069604335761,-0.008226992755645868,0.006994151642159219,0.16006336373888264,0.019340881761888334,0.21120025121640687
ALL_gross,2007-05-01,2026-06-30,5001,0.07029004560222012,0.11184804136915838,4.9642795071892706e-05,-0.65215157306325,4.579733719813256,0.6284423467928719,-0.2678294999211406,0.010594454202481727,0.021711195215249522,0.017392479812147938,0.029185601642047237,0.5440911817636472,0.04132775344824964,-0.04905954467828443,0.010658595134984216,0.06610270482031888,0.8607033865306162,0.24680890208054784,0.49730352064917155
ALL_net,2007-05-01,2026-06-30,5001,0.05214343433645578,0.1119142098626392,4.9701549084043035e-05,-0.6480046211041329,4.5434987215595175,0.46592326747832447,-0.29318494205516343,0.0106611582472443,0.021880182396760452,0.01749253185403459,0.02919874578407466,0.5382923415316937,0.04132775344824964,-0.04905954467828443,0.007721205573921591,0.046927046651773496,0.6341168503826068,0.1600595389477542,0.33764151945240606
ALL_hedged,2007-05-01,2026-06-30,5001,0.05580556884274611,0.10477286098512469,4.356092221828675e-05,-0.791652097840052,5.842721049338413,0.5326338167922055,-0.29063634615110334,0.009872176419385571,0.021108866191726267,0.016701363774055303,0.028876620117708928,0.5440911817636472,0.03567132224587765,-0.04905954467828443,0.007498338691252118,0.05158029517127338,0.7212878102487483,0.17747365687172698,0.3833758988755572
DBHVG10U,2007-01-02,2026-07-06,5090,-0.0068322237352231585,0.0899870217084913,3.2133587603033666e-05,-1.1346652003896334,18.954489017875233,-0.07592454562343251,-0.39093580264138594,0.008304516462490063,0.017928405498833372,0.0148338145781884,0.02758566987407257,0.3420432220039293,0.050428087264203114,-0.07278140710152492,-0.0058849845267347255,-0.010840205531823521,-0.10108578044444365,-0.02772886355913398,
FXCTEM8,2007-01-02,2026-07-06,5090,0.014664812164563586,0.08950879732035902,3.179295554657583e-05,-0.2580563172862861,4.939952532112662,0.16383654572049572,-0.3207736475898041,0.008921535875201503,0.01533420728070939,0.013313836722649734,0.02138682091030412,0.5247544204322201,0.03905460960462204,-0.0439542704461644,0.046226928397470494,0.01071230637963172,0.22669972124806081,0.033395219526668546,
